claim_id,quantity,value,unit,source,interpretation,status
field_cv_rmse,cv external-island displacement RMSE,0.1182360241586778,um/min,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Whole-island nested holdout on 22 measured-mechanics MDCK islands.,verified
field_cv_gain,cv gain versus constant velocity,0.0,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Mean of island-level relative gains.,verified
field_relaxation_rmse,relaxation external-island displacement RMSE,0.1094756691821733,um/min,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Whole-island nested holdout on 22 measured-mechanics MDCK islands.,verified
field_relaxation_gain,relaxation gain versus constant velocity,8.109846889905041,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Mean of island-level relative gains.,verified
field_advective_rmse,advective_pde external-island displacement RMSE,0.1084662837437774,um/min,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Whole-island nested holdout on 22 measured-mechanics MDCK islands.,verified
field_advective_gain,advective_pde gain versus constant velocity,8.829368571263005,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Mean of island-level relative gains.,verified
field_helmholtz_rmse,helmholtz_pde external-island displacement RMSE,0.1090041457535527,um/min,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Whole-island nested holdout on 22 measured-mechanics MDCK islands.,verified
field_helmholtz_gain,helmholtz_pde gain versus constant velocity,8.443805245922398,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Mean of island-level relative gains.,verified
field_mechanics_rmse,mechanics_source_pde external-island displacement RMSE,0.10900576788781,um/min,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Whole-island nested holdout on 22 measured-mechanics MDCK islands.,verified
field_mechanics_gain,mechanics_source_pde gain versus constant velocity,8.440249160979214,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Mean of island-level relative gains.,verified
field_advective_increment,Advective field gain beyond learned scalar relaxation,0.7674061321430742,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_outer_folds.csv,Paired whole-island relative gain.,verified
field_advective_positive_islands,Islands improved beyond learned scalar relaxation,20.0,islands,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_outer_folds.csv,Whole-island sign count.,verified
field_advective_sign_p,One-sided exact sign-test p value,6.0558319091796875e-05,p,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_outer_folds.csv,Predefined paired island-level direction test.,verified
field_spatial_control_gain,Advective field kin_spatial_shifted gain,0.6725159912381788,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Causal field null control.,verified
field_time_control_gain,Advective field kin_time_shuffled gain,-0.0154038637412308,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Causal field null control.,verified
field_wrong_island_control_gain,Advective field kin_wrong_island gain,0.0340579188696078,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_field_law_summary.csv,Causal field null control.,verified
field_reverse_bridge_gain,Completed-innovation gain in reverse mechanics bridge,-0.0099204872572376,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_mechanical_bridge.csv,"Macro average over traction, stress divergence, and force balance.",verified
field_intervention_mechanics_advantage,Measured-mechanics advantage under intervention transfer,-0.10342133106901147,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_intervention_transfer.csv,Paired target-island gain over the matched kinematic law.,verified
field_mechanics_spectrum_improvement,Measured-mechanics improvement in dynamic spectral log-error,0.052017983128072126,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_dynamic_spectra_summary.csv,Below the predefined one-percent gate.,verified
field_synthetic_median_coefficient_error,Median synthetic coefficient recovery error,0.3820659530812287,%,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_synthetic_identifiability.csv,Six-term synthetic E(2)-equivariant law.,verified
field_synthetic_coverage,Synthetic coefficients covered by frame-bootstrap intervals,1.0,fraction,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_synthetic_identifiability.csv,Three hundred whole-frame bootstrap repetitions.,verified
field_equivariance_max_relative_error,Maximum relative error across algebraic and finite-grid audits,2.1038053451466884e-16,fraction,evidence/article_numeric_sources/outputs/mdck_equivariant_field_law_v197_full_final_2026-07-30/v197_equivariance.csv,Arbitrary algebraic rotation and full-library D4 rotation.,verified
potential_rmse,Sign-constrained potential-sector displacement RMSE,0.1086104245748114,um/min,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_gain,Sign-constrained potential-sector gain versus constant velocity,8.703758112532169,%,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_boundary_rmse,Potential-sector plus boundary displacement RMSE,0.10861065829861,um/min,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_advective_rmse,Full advective-law displacement RMSE in the potential audit,0.1084662837437774,um/min,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_advective_gain,Full advective-law gain in the potential audit,8.829368571263005,%,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_gain_retained,Potential-sector fraction of full advective gain,98.57735626600002,%,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_relative_gap,Potential-sector RMSE gap versus full advective law,0.13288998761541476,%,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_drift_cosine,Potential drift cosine with observed field update,0.7007024650658285,fraction,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_shuffled_drift_cosine,Potential drift cosine with shuffled field update,-0.0009616510464504,fraction,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_energy_decrease_fraction,First-order effective-functional decrease fraction,0.8948942036172508,fraction,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_shuffled_energy_decrease_fraction,Shuffled first-order effective-functional decrease fraction,0.4984843953302496,fraction,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_bounded_folds,External folds with a bounded-below effective functional,22.0,folds,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_summary.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_advective_better_islands,Islands where the full advective law beats the potential sector,14.0,islands,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_advective_sign_p,One-sided sign-test p value for the advective increment,0.14313936233520508,p,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,"Whole-island nested holdout; this is an effective kinematic functional, not calibrated physical energy.",verified
potential_r_min,Potential coefficient r min,1.2748516524852769,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_r_max,Potential coefficient r max,1.2929623966894788,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_K_T_min,Potential coefficient K_T min,9.268670792783723,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_K_T_max,Potential coefficient K_T max,10.858556389162157,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_K_L_min,Potential coefficient K_L min,3.993425486790083,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_K_L_max,Potential coefficient K_L max,5.407473083047999,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
potential_g_min,Potential coefficient g min,0.0890787232984341,effective units,evidence/article_numeric_sources/outputs/mdck_effective_potential_audit_v198_2026-07-30/v198_potential_outer_folds.csv,Coefficient scale depends on the field units and one-step time discretization; it is not a material constant.,verified
