source,annotation_kind,objective,method,control,horizon,fields,experiments,component_rmse,component_rmse_std,r2,cosine
automatic,automatic,baseline,constant_velocity,constant_velocity,1,48,3,4.868518776127011,1.0048413324152239,-0.9099228569010839,0.3018335391664803
automatic,automatic,baseline,constant_velocity,constant_velocity,2,48,3,4.836833668828959,0.989443026769495,0.08844547911246647,0.6177990545230992
automatic,automatic,baseline,constant_velocity,constant_velocity,4,48,3,4.845520563332119,0.9804619749187182,0.575282029283896,0.7723585854822131
automatic,automatic,baseline,constant_velocity,constant_velocity,6,48,3,4.860157806301529,0.9788958959092245,0.7328856759196505,0.8307262641708514
automatic,automatic,baseline,imm_cv_ca_like,imm_cv_ca_like,1,48,3,4.85326003072714,1.0078194233103077,-0.8971397668518791,0.3227570948115114
automatic,automatic,baseline,imm_cv_ca_like,imm_cv_ca_like,2,48,3,4.844842897110094,0.9882926427880022,0.08528833574247978,0.5923824209650669
automatic,automatic,baseline,imm_cv_ca_like,imm_cv_ca_like,4,48,3,4.860330325722043,0.9783131907188755,0.5726230863469612,0.7638681420669718
automatic,automatic,baseline,imm_cv_ca_like,imm_cv_ca_like,6,48,3,4.880812654891584,0.9757518915055425,0.7305957382012557,0.8245685544738585
automatic,automatic,baseline,kalman_ca_like,kalman_ca_like,1,48,3,4.392715054156359,0.9054693159665064,-0.5548204388228494,0.3195169731487945
automatic,automatic,baseline,kalman_ca_like,kalman_ca_like,2,48,3,4.9934532885446385,1.0192988564574375,0.02849962930589796,0.5748969438649341
automatic,automatic,baseline,kalman_ca_like,kalman_ca_like,4,48,3,5.00123935854634,1.0040010098783387,0.5476504475019042,0.7520179678052462
automatic,automatic,baseline,kalman_ca_like,kalman_ca_like,6,48,3,5.0216822563211165,0.9997893948391174,0.7149809323631174,0.8152792906978151
automatic,automatic,baseline,kalman_cv_like,kalman_cv_like,1,48,3,4.218531248163376,0.8676031946967334,-0.434048090390847,0.3370099923211038
automatic,automatic,baseline,kalman_cv_like,kalman_cv_like,2,48,3,5.423069224845162,1.105792660811045,-0.14582241998624734,0.5238609260947488
automatic,automatic,baseline,kalman_cv_like,kalman_cv_like,4,48,3,5.4310212736416945,1.0847812850881524,0.4666363824590248,0.725578861952639
automatic,automatic,baseline,kalman_cv_like,kalman_cv_like,6,48,3,5.453852258551399,1.0778526035758598,0.6639127393286124,0.7944975833209761
automatic,automatic,baseline,no_update_previous_velocity,no_update_previous_velocity,1,48,3,4.849380989784145,0.9929350956062349,-0.895493601617077,0.3253765851240716
automatic,automatic,baseline,no_update_previous_velocity,no_update_previous_velocity,2,48,3,6.867797395725638,1.4005717533021915,-0.8375951165966072,0.37433537069504164
automatic,automatic,baseline,no_update_previous_velocity,no_update_previous_velocity,4,48,3,6.878632955542479,1.3706386511767172,0.14446080269256167,0.636748714172804
automatic,automatic,baseline,no_update_previous_velocity,no_update_previous_velocity,6,48,3,6.898862533250149,1.3588281048244097,0.4622860048949913,0.7255747128681077
automatic,automatic,baseline,reliability_mean,no_update,1,48,3,4.338749107303889,0.851617897738383,-0.5219054288166293,0.2589604392037594
automatic,automatic,baseline,reliability_mean,no_update,2,48,3,4.632011228912056,0.9227555688186996,0.16310710532822528,0.5573873492789249
automatic,automatic,baseline,reliability_mean,no_update,4,48,3,4.885370262498273,0.9656028221423288,0.5682066826397599,0.6880581994842143
automatic,automatic,baseline,reliability_mean,no_update,6,48,3,5.14843164528357,1.0097604039783734,0.7003049209263253,0.7402202732005332
automatic,automatic,baseline,validation_fixed_gain,validation_fixed_gain,1,48,3,4.150266187823764,0.8290364987041058,-0.39080511466882784,0.3009793623823445
automatic,automatic,baseline,validation_fixed_gain,validation_fixed_gain,2,48,3,4.8578882937703485,0.9727900767274188,0.07981850868902807,0.5327222754632471
automatic,automatic,baseline,validation_fixed_gain,validation_fixed_gain,4,48,3,5.01290866898456,0.9929769249606359,0.5454871414602546,0.6981162842662076
automatic,automatic,baseline,validation_fixed_gain,validation_fixed_gain,6,48,3,5.182781918499578,1.0200436336961123,0.6964089061267725,0.75746823604956
automatic,automatic,horizon_balanced,lit_cell_horizon_balanced,real,1,48,3,4.355145798451681,0.8510614808848989,-0.5338764196894409,0.2570209204095851
automatic,automatic,horizon_balanced,lit_cell_horizon_balanced,real,2,48,3,4.624354416702791,0.9222249800424137,0.16591447917825133,0.5711520924585186
automatic,automatic,horizon_balanced,lit_cell_horizon_balanced,real,4,48,3,4.8507727134262835,0.9660555231141775,0.5743880008243042,0.7042945267904824
automatic,automatic,horizon_balanced,lit_cell_horizon_balanced,real,6,48,3,5.088459162587589,1.012564384939808,0.7072921283477464,0.7576294145710697
manual,manual,baseline,constant_velocity,constant_velocity,1,48,3,1.1095846575230464,0.3774286265928578,0.3380095414901616,0.8609520841771213
manual,manual,baseline,constant_velocity,constant_velocity,2,48,3,1.2993826927919827,0.3679318187116532,0.7167565076505215,0.8933052264173718
manual,manual,baseline,constant_velocity,constant_velocity,4,48,3,1.398156712661238,0.3143276413006373,0.897904082617969,0.9328183266862632
manual,manual,baseline,constant_velocity,constant_velocity,6,48,3,1.4297886983160615,0.30080005175450547,0.9460630988123667,0.9543250490517178
manual,manual,baseline,imm_cv_ca_like,imm_cv_ca_like,1,48,3,1.1107338423668875,0.3771879905841103,0.33662793042638545,0.8558998977473286
manual,manual,baseline,imm_cv_ca_like,imm_cv_ca_like,2,48,3,1.302413054718958,0.3673484240312111,0.7154270448299048,0.8858281067586652
manual,manual,baseline,imm_cv_ca_like,imm_cv_ca_like,4,48,3,1.4050244613322256,0.31324081681656757,0.8968799309061684,0.9266353534003905
manual,manual,baseline,imm_cv_ca_like,imm_cv_ca_like,6,48,3,1.4388532896932686,0.2994963879603923,0.945357534064977,0.9501662912894707
manual,manual,baseline,kalman_ca_like,kalman_ca_like,1,48,3,1.0713288154946712,0.3399687427186311,0.3863886263438577,0.8385881414269418
manual,manual,baseline,kalman_ca_like,kalman_ca_like,2,48,3,1.409608973712877,0.3705697174677427,0.6684394154218488,0.866575113694558
manual,manual,baseline,kalman_ca_like,kalman_ca_like,4,48,3,1.5808871313289308,0.3224326989659892,0.87071429565269,0.9120222005853799
manual,manual,baseline,kalman_ca_like,kalman_ca_like,6,48,3,1.6415657939365753,0.31482736941127126,0.929670574761257,0.9393032422045912
manual,manual,baseline,kalman_cv_like,kalman_cv_like,1,48,3,1.071328815484699,0.339968742742674,0.38638862627114806,0.8385859384411086
manual,manual,baseline,kalman_cv_like,kalman_cv_like,2,48,3,1.4096089736778439,0.3705697172512581,0.6684394153591278,0.8665751136192408
manual,manual,baseline,kalman_cv_like,kalman_cv_like,4,48,3,1.5808871316776771,0.3224326994276664,0.870714295575568,0.9120197542916206
manual,manual,baseline,kalman_cv_like,kalman_cv_like,6,48,3,1.6415657948531177,0.31482736965598146,0.9296705746791812,0.939302782981747
manual,manual,baseline,no_update_previous_velocity,no_update_previous_velocity,1,48,3,1.318131769068852,0.36335098559266527,0.07632123806443522,0.7426654864037482
manual,manual,baseline,no_update_previous_velocity,no_update_previous_velocity,2,48,3,2.0234164712051004,0.48456167167230985,0.31944275914304726,0.7681144524232518
manual,manual,baseline,no_update_previous_velocity,no_update_previous_velocity,4,48,3,2.3555303546360764,0.43787665513970064,0.7149813162163019,0.8382937122442474
manual,manual,baseline,no_update_previous_velocity,no_update_previous_velocity,6,48,3,2.486040827464591,0.44183317754749724,0.8398889249435176,0.8849307703475714
