objective_name,horizon,comparator,movies,mean_rmse_delta_comparator_minus_real,movies_real_better,exact_two_sided_sign_flip_p,bootstrap_ci_low,bootstrap_ci_high
lambda_00,1,no_update,6,0.008640153820638133,4,0.84375,-0.03955079719882241,0.05751807889487045
lambda_00,1,wrong_cell,6,0.05030588517628757,6,0.03125,0.03529576377125224,0.0670370883739589
lambda_00,1,stale_time,6,0.09143886405069135,6,0.03125,0.05537773425541063,0.1428619322367113
lambda_00,2,no_update,6,0.3057158971961654,6,0.03125,0.2613731601333189,0.3491215965087206
lambda_00,2,wrong_cell,6,0.4340840520317594,6,0.03125,0.3371160961545859,0.5321546011154471
lambda_00,2,stale_time,6,0.3809195364935018,6,0.03125,0.2965896991745745,0.46836626137806664
lambda_00,4,no_update,6,0.746470942268108,6,0.03125,0.6132899643608042,0.8744381361487242
lambda_00,4,wrong_cell,6,0.952495616570947,6,0.03125,0.7421906587545867,1.1695744182098566
lambda_00,4,stale_time,6,0.3578158586184834,6,0.03125,0.2947845563608964,0.42199285907757167
lambda_00,6,no_update,6,1.0274020666156507,6,0.03125,0.8194459516946867,1.216199565920773
lambda_00,6,wrong_cell,6,1.3184825881997486,6,0.03125,1.0282444180285835,1.617003758450801
lambda_00,6,stale_time,6,0.32357544623003137,6,0.03125,0.2661205290608195,0.37598753725302886
lambda_10,1,no_update,6,-0.32495122493370815,0,0.03125,-0.38716370174524867,-0.264073634360525
lambda_10,1,wrong_cell,6,0.049295535776880804,6,0.03125,0.025515154393201882,0.07307591716055972
lambda_10,1,stale_time,6,-0.037326744432665405,2,0.375,-0.10932191491485987,0.034669722956072846
lambda_10,2,no_update,6,0.5114129057031412,6,0.03125,0.47490189959169476,0.5532321619387387
lambda_10,2,wrong_cell,6,0.926249408684995,6,0.03125,0.8699915147019106,0.9856460466729738
lambda_10,2,stale_time,6,0.9841674147054705,6,0.03125,0.8890291207410747,1.064831983392937
lambda_10,4,no_update,6,1.5549031235700443,6,0.03125,1.4937286361411404,1.6110778904594156
lambda_10,4,wrong_cell,6,2.120064780811824,6,0.03125,1.9746591927585786,2.276166724854369
lambda_10,4,stale_time,6,0.8849016655153036,6,0.03125,0.8028614846236365,0.9659394269485125
lambda_10,6,no_update,6,2.3112914367652824,6,0.03125,2.204304203137081,2.4123275886091458
lambda_10,6,wrong_cell,6,2.975063025278813,6,0.03125,2.750964460335505,3.2098838642801497
lambda_10,6,stale_time,6,0.829056374257947,6,0.03125,0.7496096973164531,0.9107038415574796
