method,comparator,horizon,movies,mean_rmse_delta_comparator_minus_method,delta_ci_low,delta_ci_high,relative_gain_percent,method_better_movies,exact_two_sided_sign_flip_p,confirmatory,hypothesis_id,multiplicity_family,statistical_unit,holm_adjusted_p,reject_at_0_05
v166_h1_strict,constant_velocity,1,6,0.8173343988563713,0.6736957190635415,0.9736047951013522,18.820969860411513,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_ca,1,6,0.9427713803754346,0.8372342999944088,1.0690816554425597,21.247566370346764,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_cv,1,6,0.5470755350893831,0.45574871283795554,0.6539067792525567,13.451726832479181,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,gru_track,1,6,0.15383356004682813,0.08570336679801693,0.23058640835829144,4.035840334428534,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,hgbdt_v52,1,6,0.017989369131402515,-0.04753356924958211,0.09136010374227066,0.2825392525417016,3,0.6875,False,,exploratory,movie,,False
v166_h1_strict,kalmannet,1,6,0.4518849438070685,0.3999219624685131,0.5152499343958815,11.44813314251183,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_imm,1,6,0.4709482443636752,0.4050809638843004,0.5548104035670315,11.836296923959793,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_ca,1,6,1.1273892176455356,1.021350538552067,1.265395248791252,24.433075955412416,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,position_kf_cv,1,6,0.5099654050972161,0.4450730919022048,0.5971561240783013,12.711845094917807,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,v97_no_update,1,6,0.008640153820638133,-0.03955079719882241,0.05751807889487045,0.08100806624961872,4,0.84375,True,H1,primary_H1_H2,movie,0.84375,False
v166_h1_strict,v97_seed_mean,1,6,0.02454770793246867,-0.023702037609960147,0.07329022209844756,0.5380501907106403,4,0.46875,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_ca,1,6,1.1226139319247104,1.0120519360927964,1.2550601074759458,24.360013012226773,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,wolf_imq_cv,1,6,0.4844042710767285,0.42236264735406687,0.5693033863950147,12.148829994838506,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,constant_velocity,2,6,0.46272743977187036,0.4074523554970395,0.5256757509419633,9.606323583208827,6,0.03125,False,,exploratory,movie,,False
v166_h1_strict,displacement_kf_ca,2,6,1.7400847796308792,1.6267174014082748,1.850046000216765,28.50153862178993,6,0.03125,False,,exploratory,movie,,False
