operating_point,condition,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,rmse_improvement_percent_mean,movies_improved,source_path,source_sha256
h1_strict,real_update_every_1,1,6,3.4743735539609095,0.3777735624113602,4.913506200761929,0.5077326421395097,0.0810080662496187,4,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_1,1,6,3.4743735539609095,0.3777735624113602,4.913506200761929,0.5077326421395097,0.0810080662496187,4,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.1,1,6,3.475683192197042,0.3826593565420097,4.915358308917269,0.507432939547683,0.0571791302875465,3,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.2,1,6,3.476142506204814,0.3892802461126964,4.916007877016448,0.5073668833737083,0.0634336767908035,3,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,missing_0.4,1,6,3.4777988266217243,0.398247878480321,4.91835026781368,0.5070305170701647,0.04060028181159,4,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_0.5px,1,6,3.4778841351235124,0.3763264833126774,4.918470912253894,0.5067252945820607,-0.0255087970369903,3,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_3,1,6,3.482289290834653,0.41919562438558,4.924700743204953,0.5059194952598125,-0.0290381291710101,3,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,no_update,1,6,3.483013707781548,0.4370554357080337,4.925725223476065,0.5059191051218614,0.0,0,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_2,1,6,3.483036517809152,0.4102380811379038,4.92575748172646,0.5057252321826647,-0.0781152242896413,4,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,update_every_6,1,6,3.4857036198184628,0.4271581499701644,4.929529333560262,0.5050996593955258,-0.1067233142649122,3,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
h1_strict,tracking_noise_1px,1,6,3.4895195190590385,0.3700582941361663,4.9349258300189325,0.5033207807601646,-0.3824326351138656,2,/Users/dmitrijabovskij/Desktop/Airi/outputs/lachance_foldlocal_semigroup_stress_v188_h1_2026-07-29/v157f_stress_aggregate.csv,48be8e0ccb9806b3490e2d34d1f0766291094ab3f7a3814f3d073dd82bf1e1bf
