model,horizon,islands,component_rmse_macro,cv_component_rmse_macro,gain_vs_cv_percent_mean,positive_islands
advective,1,22,0.11783142125106338,0.12764817955931482,8.338002786837427,22
advective,2,22,0.13108712575737094,0.1395597261558574,6.611506524809428,22
advective,3,22,0.13952598228004834,0.14849856217548904,6.7409794096728834,22
advective,6,22,0.1583482394050419,0.16764817915159125,6.366839186078372,22
potential,1,22,0.11789874614287053,0.12764817955931482,8.294821482062206,22
potential,2,22,0.13127059336688118,0.1395597261558574,6.476958343685302,22
potential,3,22,0.13955869302271415,0.14849856217548904,6.720327194480569,22
potential,6,22,0.15844171909680832,0.16764817915159125,6.3025372842998015,22
scalar_memory,1,22,0.11934092822329619,0.12764817955931482,7.254941269485884,22
scalar_memory,2,22,0.13227905696063605,0.1395597261558574,5.728290692601326,22
scalar_memory,3,22,0.14059449149392986,0.14849856217548904,6.01548362570274,22
scalar_memory,6,22,0.15939678175148733,0.16764817915159125,5.640853494857381,22
