group,variant,spectrum_log_correlation,spectrum_relative_log_error
cn03_1_4/island01,cv,,1.0
cn03_1_4/island01,helmholtz_pde,0.9931968121385562,0.5997637491273782
cn03_1_4/island01,mechanics_source_pde,0.993204096357145,0.5998722287425764
cn03_1_4/island01,relaxation,0.9954875293994623,0.6409643632840578
cn03_1_4/island02,cv,,1.0
cn03_1_4/island02,helmholtz_pde,0.9929158576759678,0.576958876636814
cn03_1_4/island02,mechanics_source_pde,0.9929905775720069,0.5769968290885382
cn03_1_4/island02,relaxation,0.9945054625705514,0.6317342285012848
cn03_1_4/island03,cv,,1.0
cn03_1_4/island03,helmholtz_pde,0.9938728659272604,0.5103115408267045
cn03_1_4/island03,mechanics_source_pde,0.9938649310764336,0.5104020373620763
cn03_1_4/island03,relaxation,0.9910031497788754,0.5395574547138762
cn03_1_4/island04,cv,,1.0
cn03_1_4/island04,helmholtz_pde,0.9943141070028603,0.5596514709130285
cn03_1_4/island04,mechanics_source_pde,0.9939588220207979,0.5590651122595982
cn03_1_4/island04,relaxation,0.9950242784926837,0.5930684297478688
cn03_5_8/island05,cv,,1.0
cn03_5_8/island05,helmholtz_pde,0.9913916488345497,0.5895113930527904
cn03_5_8/island05,mechanics_source_pde,0.9901178968721494,0.5883775809856379
cn03_5_8/island05,relaxation,0.9930472668577387,0.6218680768140263
cn03_5_8/island06,cv,,1.0
cn03_5_8/island06,helmholtz_pde,0.9922451669426731,0.5918008648623598
cn03_5_8/island06,mechanics_source_pde,0.9904619285324829,0.5884832352838831
cn03_5_8/island06,relaxation,0.9909755313882127,0.615555758053433
cn03_5_8/island07,cv,,1.0
cn03_5_8/island07,helmholtz_pde,0.99253331788419,0.5645629219293271
cn03_5_8/island07,mechanics_source_pde,0.9918588442484676,0.5637943669877613
cn03_5_8/island07,relaxation,0.9952061866865867,0.6068008424883438
cn03_5_8/island08,cv,,1.0
cn03_5_8/island08,helmholtz_pde,0.982385106425474,0.5841536894448205
cn03_5_8/island08,mechanics_source_pde,0.9808889179917791,0.5823619292786828
cn03_5_8/island08,relaxation,0.9894776899470994,0.6149878397007942
cytod/island01,cv,,1.0
cytod/island01,helmholtz_pde,0.9540754505226294,0.6279909361782325
cytod/island01,mechanics_source_pde,0.9535086978515438,0.627987135063951
cytod/island01,relaxation,0.9772982462158748,0.652497204904489
cytod/island02,cv,,1.0
cytod/island02,helmholtz_pde,0.971383006691485,0.5581909436241796
cytod/island02,mechanics_source_pde,0.9713481248786953,0.5582150980675179
cytod/island02,relaxation,0.9789033175116815,0.5759446323474343
cytod/island03,cv,,1.0
cytod/island03,helmholtz_pde,0.9907902567362662,0.5172750263092799
cytod/island03,mechanics_source_pde,0.9907534348216913,0.517356329003243
cytod/island03,relaxation,0.9830145256405587,0.546054078791995
cytod/island04,cv,,1.0
cytod/island04,helmholtz_pde,0.9856293091444592,0.6095834874262995
cytod/island04,mechanics_source_pde,0.9856747549771318,0.6095197057392663
cytod/island04,relaxation,0.9872005861318893,0.6590013752469459
cytod/island05,cv,,1.0
cytod/island05,helmholtz_pde,0.976135537813662,0.6369945387212648
cytod/island05,mechanics_source_pde,0.9760965207500352,0.6368713592475016
cytod/island05,relaxation,0.9807222415772848,0.6591129900430961
cytod/island06,cv,,1.0
cytod/island06,helmholtz_pde,0.9873592598751726,0.6748965612199713
cytod/island06,mechanics_source_pde,0.9873884244160718,0.6748419764335145
cytod/island06,relaxation,0.981158813768055,0.7244957343321176
high_density/island01,cv,,1.0
high_density/island01,helmholtz_pde,0.9782837739025799,0.762191974052457
high_density/island01,mechanics_source_pde,0.9783757205636567,0.7622547912626179
high_density/island01,relaxation,0.9657498486240019,0.7759391279799961
high_density/island02,cv,,1.0
high_density/island02,helmholtz_pde,0.9837851802909983,0.5700819651100992
high_density/island02,mechanics_source_pde,0.9838830806355003,0.5700147934615487
high_density/island02,relaxation,0.9877658308359496,0.6278604805296628
high_density/island03,cv,,1.0
high_density/island03,helmholtz_pde,0.9761951849759918,0.6951440312609295
high_density/island03,mechanics_source_pde,0.9761297022133394,0.6952078670407766
high_density/island03,relaxation,0.9785533921668685,0.732847109305803
high_density/island04,cv,,1.0
high_density/island04,helmholtz_pde,0.9823457880053448,0.6305559676813521
high_density/island04,mechanics_source_pde,0.982439019595533,0.6307008109313381
high_density/island04,relaxation,0.9808481264888452,0.6676514272162077
low_density/island01,cv,,1.0
low_density/island01,helmholtz_pde,0.9763601904239434,0.5159396787296022
low_density/island01,mechanics_source_pde,0.9763163488312496,0.5160828307288896
low_density/island01,relaxation,0.9597213915735754,0.5217558047512418
low_density/island02,cv,,1.0
low_density/island02,helmholtz_pde,0.98233440774139,0.49425693270607146
low_density/island02,mechanics_source_pde,0.9823277104802282,0.4943767070889251
low_density/island02,relaxation,0.9737120323790716,0.5074249625317147
low_density/island03,cv,,1.0
low_density/island03,helmholtz_pde,0.9761812468276643,0.554928281536863
low_density/island03,mechanics_source_pde,0.9759713179853651,0.5550371754106473
low_density/island03,relaxation,0.9659735123822972,0.569471791832509
low_density/island04,cv,,1.0
low_density/island04,helmholtz_pde,0.981985182073968,0.5266509637731109
low_density/island04,mechanics_source_pde,0.9821247424833611,0.5268388407748865
low_density/island04,relaxation,0.9727165180567698,0.5370862425397105
