split,source_groups,target_group,variant,control,validation_rmse,alpha,threshold,innovation_rmse,displacement_rmse,displacement_r2,angular_cosine,magnitude_ratio,gain_vs_cv_percent
low_to_high_density,4,high_density/island01,relaxation,real,0.18149519158671912,100.0,0.0,0.05599739404307031,0.05599739377650857,-0.18105345295887632,0.2563595780120064,0.7926004567647311,13.181141249309123
low_to_high_density,4,high_density/island01,helmholtz_pde,real,0.18103749662059937,100.0,0.0,0.05632315621407707,0.05632315595287639,-0.1948348676979481,0.23652723662827108,0.8026822208546713,12.676076665602375
low_to_high_density,4,high_density/island01,boundary_pde,real,0.17986753512557208,100.0,0.0,0.05661816693813442,0.056618166667947,-0.2073843145618246,0.22916042698201167,0.8103350679690999,12.218689421762457
low_to_high_density,4,high_density/island01,mechanics_source_pde,real,0.18083825042218987,0.1,0.03,0.05647879506674045,0.056478794802044444,-0.2014474112520661,0.2403622087268543,0.8108500114194521,12.434772805712559
low_to_high_density,4,high_density/island01,mechanics_source_pde,time_shuffled,0.18095999394968987,100.0,0.01,0.056394139894842585,0.05639413963174599,-0.19784844952652425,0.23887880017591004,0.8073836009758854,12.566022936780984
low_to_high_density,4,high_density/island01,mechanics_source_pde,spatial_shifted,0.18102218106544496,0.01,0.01,0.056306599182493706,0.05630659892138992,-0.19413249190067483,0.23761375285284478,0.8023116670856356,12.701746834890812
low_to_high_density,4,high_density/island01,mechanics_source_pde,wrong_island,0.18103383729806896,100.0,0.01,0.0563321888672479,0.05633218860599695,-0.19521813437123714,0.23717076432785797,0.8030291520926561,12.662072359642208
low_to_high_density,4,high_density/island02,relaxation,real,0.18149519158671912,100.0,0.0,0.06826423449082397,0.06826423448921493,-0.18191262472080227,0.35426475157981935,0.8979054599116991,8.680135156718523
low_to_high_density,4,high_density/island02,helmholtz_pde,real,0.18103749662059937,100.0,0.0,0.06791410511328115,0.06791410511972545,-0.16981958445071843,0.3557981248069638,0.9012654255411614,9.14851756719576
low_to_high_density,4,high_density/island02,boundary_pde,real,0.17986753512557208,100.0,0.0,0.06797018150701094,0.06797018154801396,-0.17175221351135272,0.3571950851545763,0.9059627161070559,9.073501830323924
low_to_high_density,4,high_density/island02,mechanics_source_pde,real,0.18083825042218987,0.1,0.03,0.06806227593731291,0.06806227594181977,-0.1749296337699473,0.3526154292482286,0.9068614779147206,8.950303384489173
low_to_high_density,4,high_density/island02,mechanics_source_pde,time_shuffled,0.18095999394968987,100.0,0.01,0.06799002866800453,0.06799002867366383,-0.17243661094025686,0.3543808211307016,0.9041081551165385,9.04695151674559
low_to_high_density,4,high_density/island02,mechanics_source_pde,spatial_shifted,0.18102218106544496,0.01,0.01,0.06791553936795072,0.06791553937420956,-0.1698689950024228,0.3557455402263677,0.9009973400549569,9.146598906177736
low_to_high_density,4,high_density/island02,mechanics_source_pde,wrong_island,0.18103383729806896,100.0,0.01,0.06791805421529314,0.06791805422188563,-0.16995563487368015,0.35575237145618793,0.9014573568224536,9.1432346913499
low_to_high_density,4,high_density/island03,relaxation,real,0.18149519158671912,100.0,0.0,0.059624659187746946,0.05962465938308457,-0.32399437284200117,0.26437986927135193,0.8318419580608818,12.029874267562255
low_to_high_density,4,high_density/island03,helmholtz_pde,real,0.18103749662059937,100.0,0.0,0.059898784624043695,0.05989878481373191,-0.3361965336310182,0.2554454631047113,0.8409784665060843,11.625430051863358
low_to_high_density,4,high_density/island03,boundary_pde,real,0.17986753512557208,100.0,0.0,0.060475580922831625,0.06047558110336991,-0.36205428692877595,0.25256430108517003,0.8484595214138548,10.774425741793397
low_to_high_density,4,high_density/island03,mechanics_source_pde,real,0.18083825042218987,0.1,0.03,0.05990494136231273,0.059904941552072294,-0.3364712315316025,0.26100475762215697,0.8422639396072897,11.616346410103237
low_to_high_density,4,high_density/island03,mechanics_source_pde,time_shuffled,0.18095999394968987,100.0,0.01,0.05990214065492061,0.05990214084424285,-0.3363462676189066,0.25868870871879845,0.842366928047757,11.620478569891574
low_to_high_density,4,high_density/island03,mechanics_source_pde,spatial_shifted,0.18102218106544496,0.01,0.01,0.05988670367225415,0.05988670386209969,-0.33565759455718736,0.25546136680881826,0.8407009980031598,11.643254268304174
low_to_high_density,4,high_density/island03,mechanics_source_pde,wrong_island,0.18103383729806896,100.0,0.01,0.05989918223551272,0.05989918242523859,-0.33621427318556707,0.2553191249705343,0.8412908663209308,11.624843416491398
low_to_high_density,4,high_density/island04,relaxation,real,0.18149519158671912,100.0,0.0,0.09241886232751047,0.09241886257110592,0.2888912196272665,0.6548079843574818,0.9590098868133471,9.468772598362246
low_to_high_density,4,high_density/island04,helmholtz_pde,real,0.18103749662059937,100.0,0.0,0.09174899422015505,0.09174899446808306,0.29916234276662834,0.6514749857232525,0.9599252532202363,10.124958791058647
low_to_high_density,4,high_density/island04,boundary_pde,real,0.17986753512557208,100.0,0.0,0.09239808124411233,0.09239808149444366,0.289210979993086,0.6532261303177761,0.9623765410877608,9.489129226052986
low_to_high_density,4,high_density/island04,mechanics_source_pde,real,0.18083825042218987,0.1,0.03,0.09163301854851146,0.09163301879779137,0.3009330160325646,0.6512204749945544,0.9627967336928828,10.23856568350613
low_to_high_density,4,high_density/island04,mechanics_source_pde,time_shuffled,0.18095999394968987,100.0,0.01,0.09172182735634246,0.09172182760488069,0.2995773171664238,0.6513790445809338,0.9623972800347923,10.151570776988146
low_to_high_density,4,high_density/island04,mechanics_source_pde,spatial_shifted,0.18102218106544496,0.01,0.01,0.09174011984120323,0.09174012008907144,0.29929791260568495,0.6512933898012905,0.9598892258010399,10.133651912808888
low_to_high_density,4,high_density/island04,mechanics_source_pde,wrong_island,0.18103383729806896,100.0,0.01,0.09175269537281536,0.0917526956208878,0.2991057980688939,0.6513770698177028,0.9598965600584756,10.121333233495049
high_to_low_density,4,low_density/island01,relaxation,real,0.09213206922695752,100.0,0.0,0.18597792423755394,0.18597792366642696,0.36711327385240355,0.665043681943907,1.039308427387836,4.323799763710912
high_to_low_density,4,low_density/island01,helmholtz_pde,real,0.09210794352760189,100.0,0.0,0.18543124759850904,0.18543124703757832,0.3708285091839161,0.6662170305137498,1.0388110837261548,4.605037136271511
high_to_low_density,4,low_density/island01,boundary_pde,real,0.09300494632185038,100.0,0.03,0.18558963210350862,0.1855896315496056,0.3697532472830266,0.6671840091087088,1.0404690510970644,4.5235563454964325
high_to_low_density,4,low_density/island01,mechanics_source_pde,real,0.09209166784283301,100.0,0.0,0.18532947106164901,0.18532947050082285,0.37151897881251117,0.6666058282481947,1.0389092712233958,4.657395997570759
high_to_low_density,4,low_density/island01,mechanics_source_pde,time_shuffled,0.09206225865273068,0.01,0.01,0.1854632994498889,0.18546329888968582,0.3706109853873002,0.666444694555769,1.0389497077138612,4.58854808552976
high_to_low_density,4,low_density/island01,mechanics_source_pde,spatial_shifted,0.09210794352760189,100.0,0.03,0.18543124759850904,0.18543124703757832,0.3708285091839161,0.6662170305137498,1.0388110837261548,4.605037136271511
high_to_low_density,4,low_density/island01,mechanics_source_pde,wrong_island,0.09211042903898477,100.0,0.01,0.1854262085807125,0.1854262080196738,0.37086270367250007,0.6661614577971362,1.0387413734550328,4.6076294551689525
high_to_low_density,4,low_density/island02,relaxation,real,0.09213206922695752,100.0,0.0,0.21879253815962318,0.2187925385125763,0.1774049876257796,0.6624863885231062,1.0472790672225318,5.631766434081272
high_to_low_density,4,low_density/island02,helmholtz_pde,real,0.09210794352760189,100.0,0.0,0.2177181475080569,0.21771814785562474,0.18546393205136735,0.6642138336954108,1.046247108898734,6.095165913540291
high_to_low_density,4,low_density/island02,boundary_pde,real,0.09300494632185038,100.0,0.03,0.21735683738644068,0.2173568377190591,0.1881651853980595,0.665275815351487,1.0479063327659504,6.2510039489182745
high_to_low_density,4,low_density/island02,mechanics_source_pde,real,0.09209166784283301,100.0,0.0,0.21754497269515247,0.217544973047115,0.1867591941136193,0.6645837640932845,1.046018287985871,6.169858592222477
high_to_low_density,4,low_density/island02,mechanics_source_pde,time_shuffled,0.09206225865273068,0.01,0.01,0.21770009787051758,0.21770009821909456,0.18559898253460627,0.664455032271779,1.046415050560883,6.102950970231163
high_to_low_density,4,low_density/island02,mechanics_source_pde,spatial_shifted,0.09210794352760189,100.0,0.03,0.2177181475080569,0.21771814785562474,0.18546393205136735,0.6642138336954108,1.046247108898734,6.095165913540291
