source,annotation_kind,horizon,density_quartile,fields,windows,median_dnn_px,gain_percent
automatic,automatic,1,0,48,852494,27.456951141357422,-0.35464470911910767
automatic,automatic,1,1,48,636037,30.078299522399902,-0.37807867669679335
automatic,automatic,1,2,43,567211,35.60750198364258,-0.42519014053077947
automatic,automatic,1,3,38,501677,48.297861099243164,-0.5785904672696945
automatic,automatic,6,0,48,710540,27.504761695861816,1.1660814264152857
automatic,automatic,6,1,48,542733,30.07022762298584,1.2150649943766338
automatic,automatic,6,2,44,497638,36.107194900512695,1.3459631078970862
automatic,automatic,6,3,38,430027,48.52802658081055,1.3810815043429536
manual,manual,1,0,48,301412,39.1975154876709,-0.12451646847863325
manual,manual,1,1,47,247667,47.00754928588867,0.17386706119974296
manual,manual,1,2,46,240530,58.25934410095215,-0.08450501060114589
manual,manual,1,3,44,227115,82.93619918823242,-0.2688163868474722
manual,manual,6,0,48,293023,39.14925956726074,12.491923284451685
manual,manual,6,1,47,240732,47.00754928588867,12.649019204447422
manual,manual,6,2,46,233654,58.87452697753906,11.87480817753209
manual,manual,6,3,44,220567,83.08524703979492,10.441695315496213
