source,experiment,horizon,fields,baseline_rmse,real_rmse,gain_percent
automatic,1,1,16,3.834281134084458,3.8521801037682026,-0.4736211713819917
automatic,1,2,16,4.094208709683087,4.086069056854843,0.20111259700456727
automatic,1,4,16,4.345969859927249,4.306683283642198,0.9141170036571985
automatic,1,6,16,4.612922274479837,4.5423247405774285,1.549525536044768
automatic,2,1,16,4.8445796159842835,4.862924887970933,-0.39411974419528917
automatic,2,2,16,5.149769421157205,5.142184717725732,0.14816282959512952
automatic,2,4,16,5.4059388955684105,5.3737896077822755,0.6078567685599092
automatic,2,6,16,5.665970833683511,5.611752252397978,0.9840587153629423
automatic,3,1,16,4.337386571842927,4.350332403615908,-0.3177142547383459
automatic,3,2,16,4.652055555895877,4.644809475527798,0.1594253020358746
automatic,3,4,16,4.904202031999157,4.871845248854377,0.6918405690413914
automatic,3,6,16,5.166401827687363,5.111300494787362,1.1284694732865452
manual,1,1,16,0.8893513259701021,0.8866577109087745,0.3742017625389651
manual,1,2,16,1.1108559122309583,1.060739307329544,4.811699210662688
manual,1,4,16,1.2366790992866916,1.1143443433169977,10.30325925533503
manual,1,6,16,1.3236105535913067,1.159324732734564,12.81543458602382
manual,2,1,16,1.2494726546142754,1.2478398891366647,0.26526216804724767
manual,2,2,16,1.4893663677832532,1.4423865014263488,3.5077241932810495
manual,2,4,16,1.5932580925734348,1.4795449869239146,7.495156655855686
manual,2,6,16,1.6404045957157227,1.4858853318189755,9.722320716746335
manual,3,1,16,1.1132826456877218,1.1229345485311286,-0.9696965189484942
manual,3,2,16,1.2955204479903415,1.2439124902868042,4.0429056793208655
manual,3,4,16,1.4548216195625425,1.3234568491541912,9.09160463580682
manual,3,6,16,1.5377536737526094,1.3588773848347795,11.64902787004204
