feature,mean_coefficient,std_coefficient,minimum,maximum,positive_rotations,rotations,sign_consistency
raw:global_prev,-0.2084923483626807,0.01846119391515084,-0.2290168397071129,-0.193242656243429,0,3,1.0
raw:local_m0p5,-0.04092399832103167,0.010689413523118545,-0.0531750976078707,-0.0334959563873322,0,3,1.0
raw:local_m1,-0.0131712284635023,0.020393767164896028,-0.0355124020086523,0.0044460406065889,1,3,0.6666666666666666
raw:local_m2,-0.03914988720926027,0.020073885505381563,-0.0548056558414827,-0.0165188423966906,0,3,1.0
raw:local_m4,-0.021717941347250302,0.01102142007927265,-0.0334549566489098,-0.0115887348781218,0,3,1.0
raw:own_prev,0.42560361531641777,0.025915459974974468,0.403682804215244,0.4542054379363474,3,3,1.0
scale:global_prev,0.09735131206357646,0.009280501394298127,0.0906900844477533,0.1079516398354082,3,3,1.0
scale:local_m0p5,-0.04144437762277913,0.008887190819985857,-0.0491134516198058,-0.0317046616522161,0,3,1.0
scale:local_m1,-0.0468646980486551,0.009867043566261632,-0.0558250391774293,-0.0362900411334339,0,3,1.0
scale:local_m2,-0.23047505825838877,0.03116224156163182,-0.2623841213081396,-0.2001176079109009,0,3,1.0
scale:local_m4,0.07066610006560696,0.01280587190086756,0.0584524355588182,0.083991668678513,3,3,1.0
scale:own_prev,-0.11008189213064697,0.00374920004297726,-0.114379582103241,-0.1074814979921426,0,3,1.0
