dataset,source,run,method,prediction_type,rmse_h6,r2_h6,entropy
MDCK_Bulk,v81,v81_main,our_clean_best_v52,clean_best_reference,16.743833541870117,0.433233681120917,
MDCK_Bulk,v81,v81_main,graphsage,graph,23.95415306091309,0.4350706975267762,
MDCK_Bulk,v81,v81_main,transformerconv,graph,24.076998392740887,0.4292505552696219,
MDCK_Bulk,v81,v81_main,gat,graph,24.11003875732422,0.4276928924974177,
MDCK_Bulk,v81,v81_main,mlp,tabular,24.46302604675293,0.4108111962194304,
MDCK_Bulk,v81,v81_main,radial_mp,graph,24.78753153483073,0.3950787846384191,
MDCK_Bulk,v81,v81_main,hgbdt,tabular,24.950724919637043,0.3870795160295788,
MDCK_Bulk,v81,v81_main,ridge,tabular,26.0823491414388,0.3302177837878008,
MDCK_Bulk,v82,bulk_v82_practical,our_clean_best_v52,reference,16.743833541870117,0.433233681120917,
MDCK_Bulk,v82,bulk_v82_practical,qcnet,oracle_per_horizon,23.294111251831055,0.4726761086930378,0.0587831959128379
MDCK_Bulk,v82,bulk_v82_practical,qcnet,expected,23.427480697631836,0.466620464796483,0.0587831959128379
MDCK_Bulk,v82,bulk_v82_practical,mtr,oracle_per_horizon,23.43662452697754,0.4662040405782806,0.0063998317345976
MDCK_Bulk,v82,bulk_v82_practical,mtr,expected,23.43920135498047,0.4660866327583002,0.0063998317345976
MDCK_Bulk,v82,bulk_v82_practical,qcnext,oracle_per_horizon,23.54995346069336,0.4610291071782157,0.021028246730566
MDCK_Bulk,v82,bulk_v82_practical,qcnext,expected,23.574464797973633,0.459906656835103,0.021028246730566
MDCK_Bulk,v82,bulk_v82_practical,agentformer,expected,24.68272399902344,0.4079322861179374,1.3741965293884275
MDCK_Bulk,v82,bulk_v82_practical,agentformer,oracle_per_horizon,31.750795364379883,0.0202971577953812,1.3741965293884275
MDCK_Bulk,v83_strict,bulk_strict,our_clean_best_v52,reference,16.743833541870117,0.433233681120917,
MDCK_Bulk,v83_strict,bulk_strict,mtr_strict,oracle_per_horizon,23.145750045776367,0.4779533513273935,0.0161992646753788
MDCK_Bulk,v83_strict,bulk_strict,mtr_strict,expected,23.153545379638672,0.477601650226068,0.0161992646753788
MDCK_Bulk,v83_strict,bulk_strict,qcnet_strict,oracle_per_horizon,23.33120346069336,0.4695541833266555,0.0319983549416065
MDCK_Bulk,v83_strict,bulk_strict,qcnet_strict,expected,23.36573600769043,0.4679827753350255,0.0319983549416065
MDCK_Bulk,v83_strict,bulk_strict,pyg_transformerconv,expected,24.984743118286133,0.3917017217356477,0.0
MDCK_Bulk,v83_strict,bulk_strict,pyg_transformerconv,oracle_per_horizon,24.984743118286133,0.3917017217356477,0.0
MDCK_Bulk,v83_strict,bulk_strict,agentformer_strict,oracle_per_horizon,25.287830352783203,0.3768538610869164,2.044326066970825
MDCK_Bulk,v83_strict,bulk_strict,qcnext_strict,oracle_per_horizon,28.669166564941406,0.1990656655433778,0.0042042047716677
MDCK_Bulk,v83_strict,bulk_strict,qcnext_strict,expected,28.67302703857422,0.1988499024802926,0.0042042047716677
MDCK_Bulk,v83_strict,bulk_strict,agentformer_strict,expected,37.91372299194336,-0.400746798431824,2.044326066970825
MDCK_Edge,v81,v81_main,our_clean_best_v52,clean_best_reference,18.597976684570312,0.3508910327824837,
MDCK_Edge,v81,v81_main,transformerconv,graph,22.90608278910319,0.5422012220652602,
MDCK_Edge,v81,v81_main,gat,graph,23.031876881917317,0.537159540281758,
MDCK_Edge,v81,v81_main,graphsage,graph,23.032934824625652,0.537111206311047,
MDCK_Edge,v81,v81_main,mlp,tabular,23.219321568806965,0.5295938646815437,
MDCK_Edge,v81,v81_main,radial_mp,graph,23.625246047973633,0.5130025861800311,
MDCK_Edge,v81,v81_main,hgbdt,tabular,23.67172368367513,0.5110863575562705,
MDCK_Edge,v81,v81_main,ridge,tabular,24.194445927937824,0.4892531653874307,
MDCK_Edge,v82,edge_v82_guard,our_clean_best_v52,reference,18.597976684570312,0.3508910327824837,
MDCK_Edge,v82,edge_v82_guard,qcnet,oracle_per_horizon,22.349573135375977,0.5658914833948661,0.0221184566617012
MDCK_Edge,v82,edge_v82_guard,qcnet,expected,22.471820831298828,0.5611295760464132,0.0221184566617012
MDCK_Edge,v82,edge_v82_guard,qcnext,oracle_per_horizon,22.50802421569824,0.5597142790409918,0.0459888651967048
MDCK_Edge,v82,edge_v82_guard,mtr,oracle_per_horizon,22.583757400512695,0.5567465061620498,0.0139148291200399
MDCK_Edge,v82,edge_v82_guard,mtr,expected,22.686410903930664,0.5527077278062733,0.0139148291200399
MDCK_Edge,v82,edge_v82_guard,qcnext,expected,22.851110458374023,0.5461895996093484,0.0459888651967048
MDCK_Edge,v82,edge_v82_guard,agentformer,oracle_per_horizon,23.287992477416992,0.5286712253541095,1.2189617156982422
