method,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,min_movie_rmse,max_movie_rmse
gru_track,1,7,3.3621273381369456,0.20907984697013046,4.754766191755023,0.5073610040929306,3.0771689414978027,3.7366204261779785
hgbdt_track,1,7,3.377167361123221,0.1892586114362404,4.776035990033831,0.5029826196579856,3.1102073192596436,3.7010281085968018
ours_h1_strict,1,7,3.41059935231342,0.18400358924165,4.823315859862533,0.49327743644032385,3.1502997074709587,3.7471825380281634
kalmannet,1,7,3.6037974698202953,0.1808449631312783,5.096539293016706,0.4342152238745288,3.3508028984069824,3.922168254852295
ours_h6_utility,1,7,3.7211800444360987,0.20785153596477132,5.262543286873647,0.396702047589637,3.4285536594053685,4.108640217418946
ours_h6_utility,2,7,4.043147553022182,0.19739765162344206,5.717874104159563,0.784358509550863,3.7675277057096976,4.389195603884869
ours_h1_strict,2,7,4.151639131466207,0.20758225977139128,5.871304365798367,0.7726452748133286,3.8755126729138505,4.505085988651335
hgbdt_track,2,7,4.41516637802124,0.16250390263489184,6.243988241468157,0.7429671933171907,4.190383434295654,4.689507484436035
gru_track,2,7,4.665071419307163,0.20641383166654284,6.597407341003418,0.7129922323097111,4.388664722442627,5.026008605957031
kalmannet,2,7,4.983945846557617,0.14901311834514847,7.048363753727505,0.672614112486433,4.796916484832764,5.215885162353516
ours_h6_utility,4,7,4.452513730977193,0.17998203340737454,6.296805305000376,0.9211812411765192,4.194054869844095,4.759208876070326
ours_h1_strict,4,7,5.0042909800406905,0.19304357755720214,7.077136174034892,0.900470004652734,4.756850371674701,5.326936815624999
hgbdt_track,4,7,5.924616813659668,0.16053322920877092,8.378673144749232,0.8605755737050134,5.728662967681885,6.19276237487793
gru_track,4,7,6.391077041625977,0.23577631351505476,9.038347925458636,0.8377170395059157,6.096284866333008,6.814950942993164
kalmannet,4,7,6.735419886452811,0.13265882182395008,9.525322369166783,0.8198867878543264,6.574656009674072,6.903860569000244
ours_h6_utility,6,7,4.819533087729029,0.19019884565286113,6.815849056972274,0.952465638474533,4.562067279250159,5.1564016370159225
ours_h1_strict,6,7,5.681860930665063,0.21860602588794464,8.035364787664347,0.9339636335727485,5.42841992369385,6.063974620954987
hgbdt_track,6,7,7.075831140790667,0.18564138446895287,10.006736619131905,0.8976562601416395,6.8823113441467285,7.368751525878906
gru_track,6,7,7.688849653516497,0.29172862176754144,10.873675346374512,0.8791302847246779,7.354647636413574,8.202995300292969
kalmannet,6,7,7.788938181740897,0.16187586427333475,11.015222004481725,0.8760366416477042,7.501347541809082,7.95521879196167
