reference,comparator,horizon,movies,reference_rmse_mean,comparator_rmse_mean,mean_comparator_minus_reference,relative_gain_percent,movies_reference_better,exact_sign_flip_p,bootstrap_ci_low,bootstrap_ci_high
ours_h1_strict,hgbdt_track,1,7,3.41059935231342,3.377167361123221,-0.03343199119019914,-0.989941794862064,1,0.046875,-0.049396967233064575,-0.01279333685405629
ours_h1_strict,gru_track,1,7,3.41059935231342,3.3621273381369456,-0.048472014176474953,-1.441706672637042,0,0.015625,-0.0693386371800729,-0.026864017745577926
ours_h1_strict,kalmannet,1,7,3.41059935231342,3.6037974698202953,0.19319811750687466,5.360959352593945,7,0.015625,0.18222245488842992,0.2050352047621916
ours_h6_utility,hgbdt_track,1,7,3.7211800444360987,3.377167361123221,-0.34401268331287715,-10.186426863916555,0,0.015625,-0.3703892233546572,-0.3201937224650429
ours_h6_utility,gru_track,1,7,3.7211800444360987,3.3621273381369456,-0.359052706299153,-10.679330976741493,0,0.015625,-0.37742797414409196,-0.34232647280015255
ours_h6_utility,kalmannet,1,7,3.7211800444360987,3.6037974698202953,-0.11738257461580336,-3.257191215622248,0,0.015625,-0.14393708399393507,-0.09579623848594089
ours_h1_strict,hgbdt_track,2,7,4.151639131466207,4.41516637802124,0.263527246555033,5.968682128648094,7,0.015625,0.23055470998669594,0.29249705001484433
ours_h1_strict,gru_track,2,7,4.151639131466207,4.665071419307163,0.5134322878409565,11.005882690585025,7,0.015625,0.506606869576646,0.5205435022892928
ours_h1_strict,kalmannet,2,7,4.151639131466207,4.983945846557617,0.83230671509141,16.699754385699826,7,0.015625,0.7825462747744548,0.8779751740779863
ours_h6_utility,hgbdt_track,2,7,4.043147553022182,4.41516637802124,0.3720188249990578,8.425929923070917,7,0.015625,0.3443711965815219,0.39510472113397715
ours_h6_utility,gru_track,2,7,4.043147553022182,4.665071419307163,0.6219238662849814,13.331497213762844,7,0.015625,0.6127709318654838,0.6313497876737663
ours_h6_utility,kalmannet,2,7,4.043147553022182,4.983945846557617,0.9407982935354349,18.87657535816203,7,0.015625,0.8928790886327099,0.9828201762500155
ours_h1_strict,hgbdt_track,4,7,5.004290980040691,5.924616813659668,0.9203258336189776,15.533930084678104,7,0.015625,0.8916238278256585,0.9490655952097473
ours_h1_strict,gru_track,4,7,5.004290980040691,6.391077041625977,1.3867860615852863,21.698784923933072,7,0.015625,1.3510026779027626,1.4263002533529066
ours_h1_strict,kalmannet,4,7,5.004290980040691,6.735419886452811,1.7311289064121205,25.701870642007048,7,0.015625,1.649828059930094,1.8070372546187332
ours_h6_utility,hgbdt_track,4,7,4.452513730977193,5.924616813659668,1.4721030826824753,24.847228588495813,7,0.015625,1.439614596473909,1.5061124897360683
ours_h6_utility,gru_track,4,7,4.452513730977193,6.391077041625977,1.9385633106487836,30.332341450785993,7,0.015625,1.8882185748787947,1.990732993815882
ours_h6_utility,kalmannet,4,7,4.452513730977193,6.735419886452811,2.2829061554756183,33.89404363738789,7,0.015625,2.1977006697612276,2.3612395769476677
ours_h1_strict,hgbdt_track,6,7,5.681860930665063,7.075831140790667,1.3939702101256033,19.700444829578554,7,0.015625,1.348297138576432,1.438990595544532
ours_h1_strict,gru_track,6,7,5.681860930665063,7.688849653516497,2.0069887228514336,26.102587685968572,7,0.015625,1.9425421144570443,2.0689115132313747
ours_h1_strict,kalmannet,6,7,5.681860930665063,7.788938181740897,2.1070772510758338,27.052175815380316,7,0.015625,1.9925970328117704,2.2143085026314653
ours_h6_utility,hgbdt_track,6,7,4.819533087729029,7.075831140790667,2.256298053061637,31.887392564451655,7,0.015625,2.2025789845902493,2.3147621824453606
ours_h6_utility,gru_track,6,7,4.819533087729029,7.688849653516497,2.869316565787467,37.31789142833851,7,0.015625,2.780978394000892,2.9548537284482923
ours_h6_utility,kalmannet,6,7,4.819533087729029,7.788938181740897,2.9694050940118673,38.12336193619885,7,0.015625,2.849515143109773,3.0758062093800027
