generation,artifact_role,protocol,dataset,cohort,status,path,artifact_sha256,ordered_key_sha256,target_sha256,superseded_by,claim_scope
v204,reference_complete_system,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,frozen,<AIRI_SOURCE_ROOT>/outputs/lachance_publication_bundle_v188_2026-07-29/v188_publication_report.md,bc9ecec6b8ee054dbb426c09464dd6bdbf5cd2009ec18577d43a4ba637023299,,,,v166/v188 defines the complete two-operating-point publication system
v204,preregistered_plan,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,frozen,<AIRI_SOURCE_ROOT>/external_deepsea_multimodal_validation_plan_2026-07-31.md,f4026dbe44ad4d28cf6366f8bace1424d6886f94a7e98dda2c70a602568c36ba,,,,external multimodal validation hypotheses and gates
v204,data_contract_amendment,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,frozen,<AIRI_SOURCE_ROOT>/external_deepsea_v204_data_contract_amendment_2026-07-31.md,42de81d1f600c66ae24b37f51805e63448cccf2749badfa55502937aebf3e838,,,,dimensionless unit and h1-complete row contract
v204,prepared_data_contract,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,frozen,<AIRI_SOURCE_ROOT>/outputs/deepsea_multimodal_prepared_v204_2026-07-31/v204_preparation_manifest.json,8e3221c42e6f8276bd7bcd9e80ec0da61a1aac3451c30bf3e2eee193efa2b119,,,,"DeepSea inventory, split and mask coverage"
v204,coordinate_external_benchmark,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,internal_prior_ablation,<AIRI_SOURCE_ROOT>/outputs/deepsea_coordinate_full_benchmark_summary_dimensionless_v204_2026-07-31/v204_online_macro_metrics.csv,77fb5dc1ad91d9718c43028bdd5a9bb798ea7451fa50e5ea8698f18d852e6a20,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,"v97 is the frozen prior, not the complete project SOTA"
v204,completed_innovation_transport,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,partial_mechanism_signal_gate_fail,<AIRI_SOURCE_ROOT>/outputs/deepsea_completed_innovation_transport_dimensionless_v204_2026-07-31/v204_transport_aggregate.csv,0522cf62bb9bcbce4ad527d5969d7ed29887d43fa967c857611d2a3a25c4f814,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,externalized v166 operating points transfer but fail the joint h1/h6 gate
v204,privileged_mask_state,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,external_negative_evidence,<AIRI_SOURCE_ROOT>/outputs/deepsea_exact_state_summary_dimensionless_v204_2026-07-31/v204_online_macro_metrics.csv,9553940dbf749e2543cd64ca1759fbfb054055ef842b71f0a1b62f61612dfddd,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,"real causal state fails RMSE, proper-score and identity controls"
v204,future_suffix_invariance,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,causal_audit_pass,<AIRI_SOURCE_ROOT>/outputs/deepsea_future_suffix_audit_dimensionless_v204_2026-07-31/v204_future_suffix_invariance.json,9d4b4ab9816b4df01d4dc538ec64b89a18c836b6e4ddab90ae5c14851a0d8f15,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,issued prefix predictions are invariant to future suffix mutation
v204,coordinate_unit_conversion,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,data_audit_pass,<AIRI_SOURCE_ROOT>/outputs/deepsea_future_suffix_audit_dimensionless_v204_2026-07-31/v204_coordinate_unit_conversion.json,e7b16d39bb2fc8107ab5b9d74e8d5e9a0fac1ec03b165bcc7e9a40c267cd01ba,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,pixel targets equal cell-diameter targets within float32 tolerance
v204,external_decision_report,rolling_predict_before_observe_movie_macro_dimensionless,DeepSea,frozen_outer_test_11_movies,current_external_decision,<AIRI_SOURCE_ROOT>/outputs/deepsea_external_multimodal_validation_v204_2026-07-31/deepsea_v204_decision_report.md,5a7b0698bb3a8c5921efc5183f4687eb39638512a1248732c41c0ee96895f77a,3ce65b2ba3b8040e1347734b1177745414b37f1999e9befd224c90f419d0e6d5,c3f88ab52a2a8cb470b5b34e85cca85fc5f191b41f412a4a0ab9b5df77140055,,frozen synthesis and claim boundary
