run,method,metric_unit,family,horizon,family_movie_macro_rmse,family_movie_macro_r2,family_movie_macro_angular_cosine,movies,windows
real,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.15309756994247437,0.30881229043006897,0.5070847570896149,2,15534
real,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18060197681188583,0.6970609128475189,0.7400385439395905,2,15029
real,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.22227435559034348,0.8527279198169708,0.8457375168800354,2,14099
real,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.2462964728474617,0.900929182767868,0.8806019723415375,2,13302
real,v97_direct_context,cell_diameter,embryonic_stem,1,0.1635455914906093,-0.7241444758006504,-0.06392382497766189,7,2172
real,v97_direct_context,cell_diameter,embryonic_stem,2,0.15019712810005462,0.10416592870439802,0.35295659942286356,7,1949
real,v97_direct_context,cell_diameter,embryonic_stem,4,0.1630962746483939,0.44446883882795063,0.5866892508098057,7,1609
real,v97_direct_context,cell_diameter,embryonic_stem,6,0.1768826065318925,0.5603650978633335,0.6944484795842852,7,1322
real,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19772686064243317,0.10294026136398315,0.3468126505613327,2,4443
real,v97_direct_context,cell_diameter,skeletal_muscle,2,0.21423210948705673,0.5856461822986603,0.6531910300254822,2,4146
real,v97_direct_context,cell_diameter,skeletal_muscle,4,0.2784365117549896,0.7602906823158264,0.8050537109375,2,3583
real,v97_direct_context,cell_diameter,skeletal_muscle,6,0.32893648743629456,0.8239414095878601,0.86502406001091,2,3139
real,v97_direct_context,pixel,bronchial_epithelial,1,6.503860235214233,0.30881235003471375,0.5070847570896149,2,15534
real,v97_direct_context,pixel,bronchial_epithelial,2,7.6713643074035645,0.6970609128475189,0.7400385439395905,2,15029
real,v97_direct_context,pixel,bronchial_epithelial,4,9.444182395935059,0.8527279496192932,0.845776230096817,2,14099
real,v97_direct_context,pixel,bronchial_epithelial,6,10.46751880645752,0.900929182767868,0.8806198537349701,2,13302
real,v97_direct_context,pixel,embryonic_stem,1,8.922083820615496,-0.7241444417408535,-0.06392382378024715,7,2172
real,v97_direct_context,pixel,embryonic_stem,2,8.091419901166644,0.10416593721934728,0.35295659942286356,7,1949
real,v97_direct_context,pixel,embryonic_stem,4,8.904414790017265,0.44446883882795063,0.5867676394326347,7,1609
real,v97_direct_context,pixel,embryonic_stem,6,9.716486692428589,0.5603651319231305,0.6962097798074994,7,1322
real,v97_direct_context,pixel,skeletal_muscle,1,6.433487892150879,0.10294020175933838,0.3468126431107521,2,4443
real,v97_direct_context,pixel,skeletal_muscle,2,7.054068088531494,0.5856461822986603,0.6531910002231598,2,4146
real,v97_direct_context,pixel,skeletal_muscle,4,9.271541118621826,0.7602906823158264,0.8055513203144073,2,3583
real,v97_direct_context,pixel,skeletal_muscle,6,11.020124435424805,0.8239413797855377,0.8652194738388062,2,3139
row_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.15259433537721634,0.31326574087142944,0.5031063258647919,2,15534
row_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18150237947702408,0.6939640939235687,0.7411953806877136,2,15029
row_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.22790280729532242,0.8450758159160614,0.8449341356754303,2,14099
row_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.25636908411979675,0.8925129175186157,0.880685955286026,2,13302
row_shuffled,v97_direct_context,cell_diameter,embryonic_stem,1,0.16248526211295808,-0.7057720422744751,-0.05493844001154814,7,2172
row_shuffled,v97_direct_context,cell_diameter,embryonic_stem,2,0.14922163209744863,0.11816693203789848,0.35476564722401754,7,1949
row_shuffled,v97_direct_context,cell_diameter,embryonic_stem,4,0.16211517687354768,0.45604980843407766,0.6021333081381661,7,1609
row_shuffled,v97_direct_context,cell_diameter,embryonic_stem,6,0.17398713529109955,0.5852852463722229,0.7119718449456351,7,1322
row_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19789787381887436,0.103604257106781,0.3441872075200081,2,4443
row_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,2,0.21460262686014175,0.584466278553009,0.6470899283885956,2,4146
row_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,4,0.2798117473721504,0.757122814655304,0.7917115092277527,2,3583
row_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,6,0.33110755681991577,0.8206474483013153,0.8518109619617462,2,3139
row_shuffled,v97_direct_context,pixel,bronchial_epithelial,1,6.482206583023071,0.31326577067375183,0.5031063258647919,2,15534
row_shuffled,v97_direct_context,pixel,bronchial_epithelial,2,7.709325790405273,0.6939640939235687,0.7411953508853912,2,15029
row_shuffled,v97_direct_context,pixel,bronchial_epithelial,4,9.682558536529541,0.8450758159160614,0.8449725806713104,2,14099
row_shuffled,v97_direct_context,pixel,bronchial_epithelial,6,10.894113063812256,0.8925129175186157,0.8807129859924316,2,13302
row_shuffled,v97_direct_context,pixel,embryonic_stem,1,8.871758086340767,-0.705771906035287,-0.05493844160810113,7,2172
row_shuffled,v97_direct_context,pixel,embryonic_stem,2,8.033094031470162,0.11816694055284772,0.3547656557389668,7,1949
row_shuffled,v97_direct_context,pixel,embryonic_stem,4,8.849721908569336,0.45604975734438213,0.6024142844336373,7,1609
row_shuffled,v97_direct_context,pixel,embryonic_stem,6,9.54471298626491,0.5852852463722229,0.7137886030333382,7,1322
row_shuffled,v97_direct_context,pixel,skeletal_muscle,1,6.441024541854858,0.103604257106781,0.3441872075200081,2,4443
row_shuffled,v97_direct_context,pixel,skeletal_muscle,2,7.066715240478516,0.584466278553009,0.6470899283885956,2,4146
row_shuffled,v97_direct_context,pixel,skeletal_muscle,4,9.314509630203247,0.757122814655304,0.7918680906295776,2,3583
row_shuffled,v97_direct_context,pixel,skeletal_muscle,6,11.08808159828186,0.8206474184989929,0.8519832789897919,2,3139
time_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.15312472730875015,0.30852019786834717,0.5017091035842896,2,15534
time_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18347515165805817,0.6873055398464203,0.7333979606628418,2,15029
time_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.22987375408411026,0.8424284756183624,0.8387895822525024,2,14099
time_shuffled,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.25689074397087097,0.8921597301959991,0.8746495246887207,2,13302
time_shuffled,v97_direct_context,cell_diameter,embryonic_stem,1,0.16415814416749136,-0.7357807840619769,-0.06336009402626328,7,2172
time_shuffled,v97_direct_context,cell_diameter,embryonic_stem,2,0.15086643397808075,0.09532243864876884,0.35749274279390064,7,1949
time_shuffled,v97_direct_context,cell_diameter,embryonic_stem,4,0.16449281999043056,0.43155706780297415,0.5793513911111015,7,1609
time_shuffled,v97_direct_context,cell_diameter,embryonic_stem,6,0.18027012582336152,0.5393543669155666,0.6775989702769688,7,1322
time_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19778864085674286,0.10275757312774658,0.34570083022117615,2,4443
time_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,2,0.2141125574707985,0.586281955242157,0.6519546508789062,2,4146
time_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,4,0.2776166498661041,0.7616552412509918,0.8040113747119904,2,3583
time_shuffled,v97_direct_context,cell_diameter,skeletal_muscle,6,0.32730062305927277,0.8262187838554382,0.8609840273857117,2,3139
time_shuffled,v97_direct_context,pixel,bronchial_epithelial,1,6.504854440689087,0.30852019786834717,0.5017091035842896,2,15534
time_shuffled,v97_direct_context,pixel,bronchial_epithelial,2,7.793241739273071,0.6873055100440979,0.7333979606628418,2,15029
time_shuffled,v97_direct_context,pixel,bronchial_epithelial,4,9.766623497009277,0.8424285054206848,0.8388270437717438,2,14099
time_shuffled,v97_direct_context,pixel,bronchial_epithelial,6,10.917109489440918,0.8921597301959991,0.8746658861637115,2,13302
time_shuffled,v97_direct_context,pixel,embryonic_stem,1,8.967077834265572,-0.7357808181217739,-0.06336010141032082,7,2172
time_shuffled,v97_direct_context,pixel,embryonic_stem,2,8.132938419069562,0.09532244716371809,0.35749274705137524,7,1949
time_shuffled,v97_direct_context,pixel,embryonic_stem,4,8.990228312356132,0.43155706780297415,0.5793205669948033,7,1609
time_shuffled,v97_direct_context,pixel,embryonic_stem,6,9.918184007917132,0.5393543498856681,0.6793221490723746,7,1322
time_shuffled,v97_direct_context,pixel,skeletal_muscle,1,6.43583345413208,0.10275763273239136,0.34570083022117615,2,4443
time_shuffled,v97_direct_context,pixel,skeletal_muscle,2,7.050436496734619,0.5862819850444794,0.6519546806812286,2,4146
time_shuffled,v97_direct_context,pixel,skeletal_muscle,4,9.244078874588013,0.7616552710533142,0.8043856024742126,2,3583
time_shuffled,v97_direct_context,pixel,skeletal_muscle,6,10.968007802963257,0.8262187242507935,0.8612139225006104,2,3139
wrong_cell,v97_direct_context,cell_diameter,bronchial_epithelial,1,0.15276946127414703,0.31169599294662476,0.5025949329137802,2,15534
wrong_cell,v97_direct_context,cell_diameter,bronchial_epithelial,2,0.18138399720191956,0.6943317651748657,0.7420879602432251,2,15029
wrong_cell,v97_direct_context,cell_diameter,bronchial_epithelial,4,0.22740158438682556,0.8457224369049072,0.844778835773468,2,14099
wrong_cell,v97_direct_context,cell_diameter,bronchial_epithelial,6,0.2554702013731003,0.8932276666164398,0.8805745542049408,2,13302
wrong_cell,v97_direct_context,cell_diameter,embryonic_stem,1,0.16259858757257462,-0.7039795943668911,-0.05408582064722266,7,2172
wrong_cell,v97_direct_context,cell_diameter,embryonic_stem,2,0.1492553257516452,0.12019355807985578,0.3628026843070984,7,1949
wrong_cell,v97_direct_context,cell_diameter,embryonic_stem,4,0.16166028486830847,0.46349810702460154,0.6100224937711444,7,1609
wrong_cell,v97_direct_context,cell_diameter,embryonic_stem,6,0.17351511759417398,0.5924612283706665,0.7135854874338422,7,1322
wrong_cell,v97_direct_context,cell_diameter,skeletal_muscle,1,0.19854313880205154,0.09740579128265381,0.3455704227089882,2,4443
wrong_cell,v97_direct_context,cell_diameter,skeletal_muscle,2,0.21465790271759033,0.5842323005199432,0.6531445384025574,2,4146
wrong_cell,v97_direct_context,cell_diameter,skeletal_muscle,4,0.27914151549339294,0.7589660882949829,0.7942765951156616,2,3583
wrong_cell,v97_direct_context,cell_diameter,skeletal_muscle,6,0.33046117424964905,0.821974515914917,0.853568971157074,2,3139
wrong_cell,v97_direct_context,pixel,bronchial_epithelial,1,6.489668607711792,0.31169605255126953,0.5025949478149414,2,15534
wrong_cell,v97_direct_context,pixel,bronchial_epithelial,2,7.704172134399414,0.6943317651748657,0.7420879602432251,2,15029
wrong_cell,v97_direct_context,pixel,bronchial_epithelial,4,9.661014556884766,0.8457224369049072,0.8448204696178436,2,14099
wrong_cell,v97_direct_context,pixel,bronchial_epithelial,6,10.855563163757324,0.8932276666164398,0.8806012570858002,2,13302
wrong_cell,v97_direct_context,pixel,embryonic_stem,1,8.865444762366158,-0.703979526247297,-0.05408582224377564,7,2172
wrong_cell,v97_direct_context,pixel,embryonic_stem,2,8.027911015919276,0.12019355807985578,0.3628026864358357,7,1949
wrong_cell,v97_direct_context,pixel,embryonic_stem,4,8.826373747416906,0.4634980985096523,0.6103140115737915,7,1609
wrong_cell,v97_direct_context,pixel,embryonic_stem,6,9.527736357280187,0.5924612283706665,0.7154837335859027,7,1322
wrong_cell,v97_direct_context,pixel,skeletal_muscle,1,6.461720943450928,0.09740585088729858,0.3455704227089882,2,4443
wrong_cell,v97_direct_context,pixel,skeletal_muscle,2,7.06850004196167,0.5842323005199432,0.653144508600235,2,4146
