representation,detrend,control,lag,geometry,distance_bin,distance_low_nn,distance_high_nn,mean_distance_nn_mean,mean_distance_nn_ci_low,mean_distance_nn_ci_high,mean_distance_px_mean,mean_distance_px_ci_low,mean_distance_px_ci_high,vector_correlation_mean,vector_correlation_ci_low,vector_correlation_ci_high,direction_correlation_mean,direction_correlation_ci_low,direction_correlation_ci_high,structure_function_mean,structure_function_ci_low,structure_function_ci_high,longitudinal_correlation_mean,longitudinal_correlation_ci_low,longitudinal_correlation_ci_high,transverse_correlation_mean,transverse_correlation_ci_low,transverse_correlation_ci_high,harmonic_c0_mean,harmonic_c0_ci_low,harmonic_c0_ci_high,harmonic_c1_mean,harmonic_c1_ci_low,harmonic_c1_ci_high,harmonic_c2_mean,harmonic_c2_ci_low,harmonic_c2_ci_high,n_movies
gaussian_score,affine,real,0,current,0,0.0,1.0,0.686078138307831,0.6703954763797605,0.7009407698307922,53.382845863427804,51.035427585003745,55.1775405826025,0.16999061281933,0.15925647508376398,0.1809729321645927,0.17683851839529896,0.1666789065038885,0.18709934408539325,0.8053144270347802,0.7850384094166113,0.8237055426415113,0.09219539575858658,0.08462159201164597,0.10098951000664241,0.07779521706074341,0.07355908494577106,0.08195048482644553,0.16998005163332428,0.15896961463241577,0.18141225358180238,0.000809057952188238,-0.0019345406968352802,0.0033133122275829903,-0.011236463446451243,-0.018731478473786225,-0.00477739832416928,7
gaussian_score,affine,real,0,current,1,1.0,1.5,1.2631960026996971,1.2601614943231028,1.2661476977950112,98.25736302053664,95.9527304436962,100.2070007190676,0.0753584503126625,0.06705181499536407,0.08294131751181517,0.08536591757950959,0.07713739214689957,0.09241501210690273,0.9041596614428119,0.8846476217427879,0.9262739930842051,0.029298301791657273,0.024598359949025587,0.033907606917080106,0.04606014852100521,0.04157473162850884,0.05011329956643343,0.07527867873542504,0.06647564687040351,0.08296249431068219,-0.0010953289232064037,-0.004416131899404369,0.002070275552755491,0.0007445602320523637,-0.005137655218253821,0.007190443183033275,7
gaussian_score,affine,real,0,current,2,1.5,2.0,1.7617350122272861,1.759148030660328,1.7644012858855385,137.03676354983955,133.73212426357676,139.58635383182994,0.042929220957181345,0.03628803176037097,0.04929596551673923,0.05220459950832685,0.0453963228718894,0.05965249750340394,0.948684253385168,0.9335551734134157,0.962099263519379,0.011957569329485654,0.00954231145179066,0.013552526363582056,0.030971651627695697,0.026176805730865237,0.03624403093816573,0.04284190966646717,0.03621671479985042,0.04932259992242929,0.0008901168401368383,-0.0020295959956982317,0.0038175340014706106,-0.0017932224615493542,-0.008785760909006415,0.004052981330929118,7
gaussian_score,affine,real,0,current,3,2.0,3.0,2.530956722864286,2.5274961760623915,2.5356324340389933,196.86178658713723,192.18431802907762,200.3515428501064,0.0218834093897513,0.016128999964717755,0.028905881635601118,0.030000413242591912,0.02344652020503097,0.03684881033081221,0.9719629755544704,0.964966659858015,0.9773881595144057,0.0029431309771356697,-0.0005299277355065911,0.007418357743661823,0.01894027841261563,0.016251379622112466,0.02200776497697038,0.022036672575905074,0.016192656450598836,0.02889110561756419,0.0018341443514440492,0.0004819259007109118,0.0032308517875852807,0.003041688955865609,-0.0005813531283352531,0.006459216115333929,7
gaussian_score,affine,real,0,current,4,3.0,4.0,3.5203193067530907,3.517125824637944,3.523744217534354,273.8272814557655,267.2403104238402,278.8547744826953,0.008555719247467558,0.0044162997356566045,0.01269513875927851,0.01724370547756548,0.010190949393795876,0.024433767233972396,0.9935150442921518,0.985071847150745,1.0013695626612957,-0.0017056214684900743,-0.004509472913502425,0.0007711582056863665,0.010261340715957632,0.007212653465082176,0.012824408575398821,0.008641031158197109,0.004495598020657576,0.012834627464881676,-7.792712519057042e-06,-0.0018983148249248317,0.0020404507832979604,0.0021246399047711263,-0.002148720804883851,0.0064610262000364405,7
gaussian_score,affine,real,0,current,5,4.0,6.0,5.0537208469924035,5.047056404228386,5.059730805323894,393.0879970517635,383.9648107925729,400.1251352393004,0.003041797727966718,-0.0005639593874345084,0.005854466177327504,0.010687988605285454,0.0071072517036539894,0.014107825288098489,1.0002134080361782,0.9952618075787599,1.004931112961961,-0.0018358305780653923,-0.003613309858290095,-0.0002575726888781486,0.004877628306032111,0.0025025840798477655,0.007254543760786458,0.0030488746735369636,-0.0005046212537476193,0.0058817163248659,-0.00011204790407902587,-0.0017253177409644663,0.001296850910045643,-0.0003266421686934076,-0.0017104901497497188,0.001216310415549049,7
gaussian_score,affine,real,0,current,6,6.0,8.0,7.0423671886939285,7.035437765808655,7.048949746275969,547.7843470659108,534.846529133661,557.9028163242032,0.0015722997980687423,-0.00228238744405306,0.00452819708647398,0.009335578789574603,0.004843936393027972,0.012958886540182572,0.999227475256936,0.9957557131966588,1.0024620109467517,0.0008949568721377173,-0.0008162087521795274,0.0022741567391406014,0.0006773429259310235,-0.0015174687687291473,0.0023620422237028565,0.0015467671494960652,-0.0025714585214412574,0.004573603332786546,-0.0006634315127918973,-0.0026318095016695333,0.0013696965965933775,-0.0007519212378615596,-0.0032683722851523426,0.0013270293741841593,7
gaussian_score,affine,real,0,current,7,8.0,12.0,10.074385452639659,10.067631675186238,10.081555024240386,783.614285810383,765.4080664468905,797.9665365620865,-0.0033378290354006703,-0.004882751239654616,-0.001632106199076432,0.0021693425813527597,0.0004249846044184225,0.003952601110027462,1.0072882508417418,1.0005368529110465,1.0130965718745661,-0.0021227479138207677,-0.002934244134361747,-0.0013327702922998341,-0.0012150811215799028,-0.002284807913478328,0.00015361251873289222,-0.003377052472422175,-0.004937108175543093,-0.0016294942883021437,-2.0442382067740728e-05,-0.001089328063461612,0.0009722276366770181,0.00012070367123777745,-0.0014097160040504723,0.0015514630833854833,7
gaussian_score,affine,real,1,endpoint,0,0.0,1.0,0.6858916100267098,0.6703221080437043,0.7002731222498291,53.389926901876926,51.15097553227832,55.20485093392069,0.038955423046432895,0.031164390161671874,0.04652890882455727,0.03691138514020157,0.028035387848581946,0.044493750069386426,0.9361826013461638,0.9197246277373304,0.9536395225062902,0.01700458031620593,0.012484892552414573,0.021339239837639915,0.021950842730226964,0.01787800081102161,0.026058079224150075,0.039111922053589106,0.03096257964528534,0.046978203333472725,0.0068586213385493046,0.0009062066954694236,0.012234222597620114,-0.0022195898188571692,-0.00989933811912976,0.005102737110928185,7
gaussian_score,affine,real,1,endpoint,1,1.0,1.5,1.263116575543481,1.260003146341793,1.2662066202946605,98.2907477999109,95.83338080262281,100.1607910041844,0.019355827296918537,0.012559686341792142,0.027056485433575382,0.013652709532924938,0.005796296243338306,0.02143459849266954,0.9614971913200188,0.9420891235870299,0.9823976405178433,0.005526568239263986,0.0017616212174115088,0.009922556669650317,0.013829259057654555,0.009440726872097863,0.017895779984239562,0.01947919943184059,0.012371733247965418,0.02713083502951304,0.001128413505587501,-0.005288354956569686,0.007972537613510135,0.00020187320131303654,-0.007723670051811369,0.007598653693531849,7
gaussian_score,affine,real,1,endpoint,2,1.5,2.0,1.761824766118805,1.7592851979162198,1.7644796083363476,137.09818727001465,133.77963099477262,139.53178234750945,0.0015218899692719084,-0.003978029699739503,0.008046061945094513,-0.00461803896227274,-0.011325330036782702,0.002093636830800492,0.9897375842401314,0.9750288655136992,1.0046770544749106,-0.005513819595753317,-0.008899835473367654,-0.0018398630984241486,0.0070357095650252265,0.004640016258246802,0.01030539554491414,0.0016581068999014519,-0.003618347159814897,0.008165119930763772,0.002687873567830667,-0.0029761173279170797,0.008335432855283783,0.0030770228397368803,-0.002300166520663258,0.008930100223383244,7
gaussian_score,affine,real,1,endpoint,3,2.0,3.0,2.530955494836713,2.527478682249948,2.5357183915434867,196.94004582175984,192.4182635108539,200.37366952483245,-0.008849995022934315,-0.011835904200541892,-0.00512487800836645,-0.013434005538996516,-0.016408616065079352,-0.010223288364477693,1.0028016566300324,0.9934987885894596,1.0108045766650409,-0.009807780904624835,-0.011304239405698985,-0.007617899549971349,0.0009577858816905209,-0.001296116445179088,0.0025745937353959247,-0.008721233751660371,-0.011662026010337412,-0.005145112911130956,0.0015793122485916104,-0.0017795279259255215,0.00514040408646893,2.994839271790842e-05,-0.0024403290067350632,0.0026731503168530278,7
gaussian_score,affine,real,1,endpoint,4,3.0,4.0,3.520303091569531,3.516995693660499,3.5236692234553026,273.93523190601564,267.36444267094714,278.81607768752434,-0.01718065872128412,-0.02041209000804627,-0.01361670251821261,-0.019930338200493114,-0.02392163343361101,-0.01542463617052591,1.0204644933317324,1.0119142354585473,1.0282747743036629,-0.014396834178204532,-0.015832157024974855,-0.01272416432890589,-0.0027838245430795885,-0.005516587034032605,0.00013825692353119866,-0.017180895638697746,-0.020453936739064798,-0.01375743451608045,0.0017110129734250116,-0.0010547172625015367,0.004893647835852598,-0.00154538099933439,-0.005832384815429554,0.0015724075603040597,7
gaussian_score,affine,real,1,endpoint,5,4.0,6.0,5.053554077061141,5.046936947719895,5.059666398909191,393.23220423918866,384.2542547463863,400.1351990334701,-0.013564158293599275,-0.015095786708468261,-0.012452305294851473,-0.016436707867734355,-0.017938768513468616,-0.014714073792567471,1.016776546907362,1.0104329390194227,1.023465269746111,-0.00885674629426956,-0.010130849170982668,-0.007797059410534254,-0.004707411999329713,-0.0057663220622460225,-0.0036213701044117744,-0.013357806266176178,-0.014701917811620958,-0.012345469288579079,0.0021453235087674225,-0.0005179792810044456,0.0044706626324084245,-0.0002541903084674632,-0.002112366646503761,0.001617051108852835,7
gaussian_score,affine,real,1,endpoint,6,6.0,8.0,7.042371056014006,7.034921408488423,7.048590991856109,548.0029812003198,534.7393766016665,557.5220240543551,-0.005915462903178017,-0.007440857945027114,-0.0044210403361072915,-0.009090876698678124,-0.010584401723399667,-0.007214365724177498,1.0069456444964309,1.0021925773008928,1.0113908707796586,-0.0022149923379742877,-0.0030448853745655598,-0.0013346165378717782,-0.0037004705652037293,-0.0049127854039165645,-0.002584376948063257,-0.005864837529793346,-0.0073511960641937995,-0.004365837029677444,0.0004757507607259497,-0.0014978687183467016,0.0022596498852378013,0.0008374538449286203,-0.0009858504008031109,0.002700434090053597,7
gaussian_score,affine,real,1,endpoint,7,8.0,12.0,10.074402921867875,10.067592381822227,10.081370797177215,783.9279973699688,765.6608485993941,797.7851782487004,-0.0014551306296090845,-0.0025034007579977555,-0.00023832783647815604,-0.004046656552794524,-0.005406047955631657,-0.002467623758456471,1.0055935966995355,0.9999611483841955,1.0104669072758554,-0.0005949407399875681,-0.0011448124608871388,6.198292624408474e-05,-0.0008601898896215163,-0.0014992666035442835,-0.0002406865769410868,-0.0013603277538107733,-0.0026459282288966634,-6.557880519405247e-05,0.0007293889854164045,-0.001964441846787364,0.003321587632891611,0.0002548140155329283,-0.0008576348795428867,0.0015373876321986178,7
gaussian_score,affine,real,1,start,0,0.0,1.0,0.6862199461973985,0.6711667346577971,0.7008281161938565,53.418254463624706,51.251543494066375,55.16667592255733,0.04016320430125402,0.031369697043458544,0.047539105584577274,0.037205682212293034,0.028378392127681562,0.045655723234939896,0.9351089720336786,0.9170805381487981,0.9540379755339484,0.01838638476469619,0.014625338058587813,0.022250265916156614,0.02177681953655783,0.016133184319491577,0.027160434288540845,0.04002977502841621,0.031169106554008955,0.04724189013750483,0.00788417925005191,0.002265829861179528,0.012907407641922605,0.0010427771228540684,-0.006053964570979568,0.0058831100206003465,7
gaussian_score,affine,real,1,start,1,1.0,1.5,1.2642742491311856,1.2610584409219605,1.2676435257588548,98.38135569774154,96.07833126942629,100.2052252737267,0.01737041229236899,0.009200199369143498,0.026376230640545513,0.013433514742181041,0.0041176120780017835,0.021514656675800277,0.9647900926933852,0.944640985095819,0.9850354639227208,0.0047533540104300965,0.0009470894343040966,0.009367167629970414,0.012617058281938893,0.008116145729051425,0.01683132017441854,0.017642643645181772,0.009350086169302552,0.02685339133463467,0.0007405303730247988,-0.006169371284349868,0.007543180239534818,-0.0009195386670473475,-0.008070206058580888,0.004723209347880329,7
gaussian_score,affine,real,1,start,2,1.5,2.0,1.7620299265445,1.7594137316800924,1.7644036032480634,137.11327704665422,133.82959572775889,139.58236589425286,0.0013704726143202411,-0.003262624947633724,0.007132394018020098,-0.004025268987959779,-0.00998786600045525,0.0017067258965795644,0.9907814350178156,0.9785659301706361,1.0040462326743542,-0.00601850317122276,-0.009395693419074229,-0.0027194815249525633,0.007388975785543,0.005010824491887716,0.01031307129925217,0.0015568809361663882,-0.003179752745343582,0.0074115292240151814,0.0008650391169456642,-0.0033212082496482036,0.005896069657765707,0.0010403332259975807,-0.00446166115808119,0.006848620217565689,7
gaussian_score,affine,real,1,start,3,2.0,3.0,2.531165368060607,2.5275177772696575,2.5362775114955163,196.95473409203603,192.35937166656058,200.33431225635098,-0.008978160216749326,-0.012152756530071439,-0.004865751571414017,-0.014085607164096306,-0.01723093806565738,-0.01062795478317698,1.002126199490511,0.9916929708909592,1.0106671173517927,-0.010321087789175993,-0.011862606188516188,-0.008166491233981303,0.0013429275724266673,-0.0011455359090541033,0.003365218638647102,-0.008945685504515096,-0.012170087477434477,-0.005046255867178523,0.0005631738651893233,-0.0026882489074608173,0.004366885909954417,0.0007352171116125115,-0.001104322501786071,0.0025042305195741954,7
gaussian_score,affine,real,1,start,4,3.0,4.0,3.5203676075819557,3.5169402232423197,3.523693792322509,273.93979850052494,267.57249157152165,278.9186962887206,-0.017140530452604,-0.020071426974752414,-0.014024895647974475,-0.01967950181761081,-0.023344148026183988,-0.015580789600854603,1.0200034142707284,1.011643103121474,1.028189251936758,-0.014095579092499746,-0.015430573748189617,-0.012545212377605336,-0.0030449513601042513,-0.005549343007136617,-0.00024521181634299863,-0.017120287290246408,-0.020153743414825242,-0.014063596068811935,0.0017102838172919808,-0.0007999171899833214,0.00438686569779236,-0.002465757231266187,-0.006531310762407673,0.00030508361408815895,7
gaussian_score,affine,real,1,start,5,4.0,6.0,5.053595972818958,5.046952183953792,5.059603703494003,393.23644828503967,384.1203809954067,400.2065035801335,-0.01351960140334818,-0.01520556917281969,-0.012197298911214228,-0.016583807819702912,-0.018095669846321702,-0.014789941934907912,1.0163406858534143,1.0100248980104323,1.0229021001406429,-0.008862110458285607,-0.010172246187283546,-0.007830186925630938,-0.0046574909450625744,-0.005684955589011035,-0.0035404919158827206,-0.013327874913979106,-0.014879776086922921,-0.01205676701107673,0.0017796449506002918,-0.0006768052454485658,0.004000932419495169,2.1118703906758307e-05,-0.001612062980403488,0.0016059848513852416,7
gaussian_score,affine,real,1,start,6,6.0,8.0,7.042103517705114,7.035391311313145,7.048515936745146,547.9819812184685,535.1217927742068,557.5299937214652,-0.005686629641688072,-0.007124863592208292,-0.004288808849444399,-0.008777074592684633,-0.01031762331192571,-0.0068371819063492035,1.006686523229374,1.0020529521174633,1.0110065977323655,-0.0020668251674953214,-0.0029321948590049535,-0.0011429696608684366,-0.003619804474192751,-0.004887529999030542,-0.0025672209212194833,-0.005613117763281082,-0.006973709696068059,-0.0042209877272589525,0.0007034607408504615,-0.0009066398212210866,0.002265916434695065,0.0004866559472165374,-0.0013990359871886566,0.002260379759096629,7
gaussian_score,affine,real,1,start,7,8.0,12.0,10.074270412407326,10.06705708367869,10.08136343204706,783.9174251559618,766.2015152964024,797.4561119276462,-0.0015087352240922163,-0.0025646993800901028,-0.00041891615248884926,-0.0040791761490336954,-0.005456010750371078,-0.002597895947786435,1.0056295368450923,0.9999197119339626,1.010792139837071,-0.000608461846750393,-0.0011397425913612258,-5.843192507867949e-07,-0.0009002733773418235,-0.0015115313583680295,-0.0002962116623222956,-0.00141351421174608,-0.0026954628344534634,-0.00016719016387107318,0.0007741958629582717,-0.002060255498890638,0.003377563385181636,0.00037088839444452245,-0.0006664868418485694,0.0016314542319578,7
gaussian_score,affine,real,2,endpoint,0,0.0,1.0,0.68599156835557,0.6704231720467253,0.7004370566398544,53.42181828659513,51.162911493104566,55.196060561339344,0.03784527961192792,0.03218256821000705,0.04712070944979913,0.04088059268414084,0.036751798733477184,0.04703284503810499,0.937374387836775,0.922058965499686,0.9552853110113197,0.02108998087196822,0.015719779033754416,0.02759430383270347,0.0167552987399597,0.012781926902966796,0.02109402942971017,0.037744353229396656,0.03235249613235345,0.046698402319533094,0.021147022663792113,0.01602457478760346,0.026500123760326493,-0.0072922370835772216,-0.01298805634775153,-0.0017490126004968236,7
