horizon,support_r_over_xi,movies,edge_fraction,component_rmse,relative_to_dense_percent,relative_to_dense_ci_low,relative_to_dense_ci_high,fraction_of_best_gain,fraction_of_best_gain_ci_low,fraction_of_best_gain_ci_high
1,0.5,6,0.0069462550932063,3.5031398186255824,0.24137549085281873,0.07770266729468234,0.41795247217657483,-19930804852.846035,-40232367329.63375,-2325025272.281999
1,1.0,6,0.03245105392405665,3.497240064870507,0.08939697003086944,-0.11394083806035386,0.3189585171150422,-16848143841.904352,-34688868484.5468,-1275899707.7506773
1,1.5,6,0.0711419821207467,3.496226497126237,0.06117560738952236,-0.13447155355287843,0.29073908978196433,-16787080905.748497,-34500685212.37994,-1302763194.291962
1,2.0,6,0.12050948571207813,3.4962288165169557,0.06375778992889769,-0.11168674957789022,0.2705689131047573,-17242962426.94912,-35432139249.95231,-1170022671.013262
1,2.5,6,0.17824857087420606,3.4968237627447265,0.07786666504658313,-0.10021465234310949,0.28425682422776505,-17059092477.235525,-35327573468.61035,-971829844.8918811
1,3.0,6,0.24248059646944972,3.4966203819321797,0.07285417282121842,-0.10091292316378214,0.28213599002633316,-17034422119.32984,-36419194945.19047,-922820476.7054543
1,4.0,6,0.3834432759273163,3.496638611019917,0.07508791638252872,-0.10031816493653219,0.2959795305574349,-17249531170.541965,-35329130254.84745,-1051901051.812429
2,0.5,6,0.0069462550932063,4.4145195486978235,-0.04249628622618462,-0.40738444393675355,0.4838739679422592,0.9072557299262541,0.848032326640301,0.9656764879836915
2,1.0,6,0.03245105392405665,4.386846300208468,-0.6403707545799368,-1.022244706767008,-0.2545472599833343,0.9967618349278552,0.993178737266093,0.9994309885368445
2,1.5,6,0.0711419821207467,4.38730963271556,-0.6299763496976418,-1.0398407131148593,-0.2578101253159326,0.9954948285382953,0.9927367465123486,0.9983369734543217
2,2.0,6,0.12050948571207813,4.389099356413671,-0.5854001909772996,-0.9905330656920545,-0.20358933853914332,0.9908796866224693,0.9869445248370144,0.9953347595801695
2,2.5,6,0.17824857087420606,4.398802468734641,-0.38248859290345344,-0.7432593420316586,-0.1050470669233805,0.9573005849027246,0.8945314830766756,0.9922474248986566
2,3.0,6,0.24248059646944972,4.398489534927958,-0.3902981541954324,-0.7394687469900348,-0.10325872864761869,0.9579336745521821,0.8926562582805122,0.994188987499221
2,4.0,6,0.3834432759273163,4.39961009655896,-0.36335276561681634,-0.7352349422473647,-0.07233629322957642,0.9541075046190403,0.8827443545923271,0.9942411870505171
4,0.5,6,0.0069462550932063,5.795472004772215,0.2524919750446127,-0.4593699532994729,1.2822755609330476,0.8848256713007595,0.820675099583725,0.9488503780064114
4,1.0,6,0.03245105392405665,5.713806459826418,-1.1009043382960066,-1.9230234885851443,-0.3170682093052295,0.9946397049899306,0.9880837083815375,0.998976667749218
4,1.5,6,0.0711419821207467,5.713775739023606,-1.100393409233295,-1.9558313794436046,-0.322206204633498,0.9949084618833594,0.9910661107484279,0.9981907963267206
4,2.0,6,0.12050948571207813,5.718493803555357,-1.0127596840128983,-1.8195268956603101,-0.22613844152486462,0.9897365254625475,0.9849725835230263,0.9947783587160307
4,2.5,6,0.17824857087420606,5.742501314420295,-0.6409630031404268,-1.3945088481289691,-0.10869110283033463,0.9525993565005865,0.8827117954677295,0.9907793894528677
4,3.0,6,0.24248059646944972,5.741481991469787,-0.660540916872134,-1.4210177012996947,-0.13539053945323212,0.953445320321375,0.8791945019235382,0.9939005982620245
4,4.0,6,0.3834432759273163,5.743471468538459,-0.6229820200342203,-1.3861146488774418,-0.16062497088934294,0.9502348883219905,0.8674129661687142,0.9968623868305139
6,0.5,6,0.0069462550932063,6.8896525590380415,0.5000408616205376,-0.5355135140782471,1.915514343234818,0.868801371407416,0.7990564434665538,0.9372346004562906
6,1.0,6,0.03245105392405665,6.764044110893608,-1.2705272001173162,-2.261906935608234,-0.3392569593115217,0.9905224008883139,0.9808664888989927,0.9974883578576549
6,1.5,6,0.0711419821207467,6.7608788736731436,-1.314351073933347,-2.3441833982748013,-0.39186042419037115,0.993885617232067,0.9877645748682077,0.998741692619289
6,2.0,6,0.12050948571207813,6.768898626888407,-1.190481768227904,-2.149928999274085,-0.25201932419541273,0.9874421688169219,0.9805368462768974,0.9943474913569464
6,2.5,6,0.17824857087420606,6.800528563652251,-0.7847779640673496,-1.653519501638428,-0.08763382627371419,0.9500229134614638,0.8787363886541706,0.9905138393112076
6,3.0,6,0.24248059646944972,6.798564897806258,-0.8166646205921188,-1.6372512964643555,-0.16937128500892906,0.951116781907933,0.8732664572571718,0.9942858665079726
6,4.0,6,0.3834432759273163,6.801419655545612,-0.7721918010807108,-1.6041889399930913,-0.21039502200160265,0.9472844251781184,0.8576563917214884,0.9980248263673306
