objective_name,variant,horizon,movies,component_rmse_mean,component_rmse_std,component_r2_mean,vector_rmse_mean,vector_r2_mean,gain_vs_no_update_percent
lambda_00,lambda_00_real,1,6,3.4743735539609095,0.3777735624113602,0.5062816443004352,4.913506200761929,0.5077326421395097,0.08100806624961872
lambda_00,lambda_00_real,2,6,4.386432118842225,0.5300500290500707,0.7565969464144846,6.203351792895627,0.7580525595068085,6.57663636453513
lambda_00,lambda_00_real,4,6,5.733410335143067,0.7150817835279705,0.8711335806120726,8.108266654609398,0.872190621263004,11.6358906942337
lambda_00,lambda_00_real,6,6,6.7846380047434645,0.8353324822226045,0.9039854663921791,9.594927082100144,0.9050428519157294,13.280449335117476
lambda_00,lambda_00_stale_time,1,6,3.565812418011601,0.42940679858481834,0.48118250020444964,5.042820282430406,0.48231044807824475,-2.437898798405699
lambda_00,lambda_00_stale_time,2,6,4.767351655335727,0.49288966249772687,0.7124900758348619,6.74205336757761,0.7141759711674843,-1.6947027904991518
lambda_00,lambda_00_stale_time,4,6,6.091226193761551,0.6931877993701399,0.8547510051259279,8.614294694699831,0.8559388340665475,6.0536201935100635
lambda_00,lambda_00_stale_time,6,6,7.108213450973497,0.8260857410183203,0.8947962208694825,10.052531866609579,0.8959496216326913,9.112673847039686
lambda_00,lambda_00_wrong_cell,1,6,3.524679439137197,0.3825882860548327,0.49199228550452506,4.984649465845418,0.4935197552454496,-1.3727706079037603
lambda_00,lambda_00_wrong_cell,2,6,4.820516170873984,0.51461346710642,0.7061671530281118,6.817239346488809,0.7078725273489503,-2.8020372500345982
lambda_00,lambda_00_wrong_cell,4,6,6.685905951714015,0.6543155606798603,0.8252349268421174,9.455298873664955,0.8266020951241808,-3.262251999778133
lambda_00,lambda_00_wrong_cell,6,6,8.103120592943213,0.7360486969561308,0.8637275713753519,11.45954304008501,0.8650902298428145,-3.8089659075549096
lambda_01,lambda_01_real,1,6,3.5116900632442403,0.3743793012287341,0.4955660525306496,4.966279714290837,0.49697700368655107,-1.014305143465105
lambda_01,lambda_01_real,2,6,4.313624687255749,0.5202334880873403,0.7646518753868826,6.100386535704481,0.7660623366021196,8.129749683010786
lambda_01,lambda_01_real,4,6,5.53278665283628,0.7054300400773554,0.8800498230869692,7.824541922157909,0.8810422355099973,14.760502010758835
lambda_01,lambda_01_real,6,6,6.49277427606244,0.8184764016819753,0.9121176429522723,9.182169438634658,0.9131074409840644,17.048905790502307
lambda_01,lambda_01_stale_time,1,6,3.5875373801734525,0.41860050407684657,0.47456659919499417,5.073544018561738,0.47581109606714006,-3.103015730786479
lambda_01,lambda_01_stale_time,2,6,4.816961541490199,0.48484046197211794,0.7063835076171703,6.812212341405051,0.7081251776166996,-2.782187810833077
lambda_01,lambda_01_stale_time,4,6,6.000004483743773,0.6789018304355006,0.8591019473324036,8.485287715209823,0.8602741284191087,7.46271290766261
lambda_01,lambda_01_stale_time,6,6,6.919777898499004,0.8040290162384285,0.9003533971288675,9.786043752666886,0.9014688179541491,11.537267015358083
lambda_01,lambda_01_wrong_cell,1,6,3.563771507256437,0.38098137149923,0.4805981383969669,5.039933998760859,0.4820858336654619,-2.512901627095182
lambda_01,lambda_01_wrong_cell,2,6,4.853069866385738,0.5002703545110319,0.7020929889685111,6.863277224186895,0.7038141637235037,-3.5299474395359582
lambda_01,lambda_01_wrong_cell,4,6,6.726133135693741,0.6358954205547714,0.8230772229353365,9.512188702825162,0.8244626591437663,-3.9124854560534867
lambda_01,lambda_01_wrong_cell,6,6,8.14408832122459,0.7164772377143439,0.8623130724388615,11.517480157040147,0.8636932895136122,-4.356301536457947
lambda_02,lambda_02_real,1,6,3.5445319177264167,0.38057395842895836,0.48612955508467026,5.0127251103130135,0.4874916774345343,-1.9507032539732156
lambda_02,lambda_02_real,2,6,4.271423863555351,0.5090704895248541,0.7692717558348017,6.040705558484061,0.7706374969524381,9.01426170260205
lambda_02,lambda_02_real,4,6,5.405661322066933,0.6764208057345684,0.8855656310926076,7.644759555262733,0.8864912684110259,16.696772487520576
lambda_02,lambda_02_real,6,6,6.301018409554183,0.7695104092969074,0.9172903153215545,8.910985691554075,0.9182057476578835,19.46790451488289
lambda_02,lambda_02_stale_time,1,6,3.604882706539344,0.41686235782477743,0.46936719931473503,5.09807401435217,0.47070899978396624,-3.6114883330798704
lambda_02,lambda_02_stale_time,2,6,4.857166095632125,0.4886937450918581,0.7014515388242085,6.869070167141724,0.7032407212366608,-3.6387499950924247
lambda_02,lambda_02_stale_time,4,6,5.942470520291156,0.6628191497493064,0.8618263347807851,8.403922403798056,0.8629778458963355,8.33583935569005
lambda_02,lambda_02_stale_time,6,6,6.792778835121909,0.7674867108448472,0.9040284500757122,9.60643995483032,0.9050951698074751,13.137544464778253
lambda_02,lambda_02_wrong_cell,1,6,3.5991966293514466,0.3881411596222433,0.47027000247929535,5.090032686876346,0.47171407984964286,-3.520131383987436
lambda_02,lambda_02_wrong_cell,2,6,4.880470813578527,0.49852336441849093,0.6987037422032363,6.902028015328807,0.7004318515412082,-4.119038396692666
lambda_02,lambda_02_wrong_cell,4,6,6.757976446556488,0.6379060849998647,0.821405462852493,9.55722194491812,0.8227922283424949,-4.402125594986017
lambda_02,lambda_02_wrong_cell,6,6,8.173849825466759,0.7230650091584288,0.8613311851281091,11.559569279976046,0.8627067094200883,-4.729744839617198
lambda_03,lambda_03_real,1,6,3.5932940200463617,0.3763901151822686,0.47194733498773694,5.081685136743705,0.47328586763792013,-3.3850748716277805
lambda_03,lambda_03_real,2,6,4.231223015562036,0.4945257005659523,0.7735191846021542,5.983852974033017,0.7748619856311678,9.85580908864634
lambda_03,lambda_03_real,4,6,5.258092769671411,0.6661683655679549,0.8915892655188485,7.43606610708522,0.8924625210098226,18.979366515718528
lambda_03,lambda_03_real,6,6,6.073953986780772,0.776014168219465,0.9229749717895829,8.589868105335498,0.9238301872393758,22.39468970794154
lambda_03,lambda_03_stale_time,1,6,3.641869093398224,0.41596701201471603,0.4584355449503075,5.150380664271176,0.4598766387857922,-4.7031776949048565
lambda_03,lambda_03_stale_time,2,6,4.925426778034253,0.4969225579454588,0.6930301562462365,6.965605349971656,0.6948802749159341,-5.108569180192119
lambda_03,lambda_03_stale_time,4,6,5.893724592331221,0.6486426931275885,0.8640650300658098,8.334985251366653,0.8652026212339968,9.080159255991903
lambda_03,lambda_03_stale_time,6,6,6.658168025866517,0.7541305521554978,0.9077324883615367,9.416071522739324,0.9087631173843626,14.863153670143388
lambda_03,lambda_03_wrong_cell,1,6,3.6493353128334847,0.38835191903674404,0.4555098104091797,5.160939493056176,0.45692961665807347,-4.982350244829088
lambda_03,lambda_03_wrong_cell,2,6,4.933844332500391,0.5006685227634826,0.6921287564682176,6.977509569659683,0.6938596538825034,-5.275024301429331
lambda_03,lambda_03_wrong_cell,4,6,6.829878261657203,0.6376431359890059,0.8176566943224839,9.658906466992796,0.8190354776763843,-5.534608234550759
lambda_03,lambda_03_wrong_cell,6,6,8.255410997438238,0.7149967829548634,0.8586331938383477,11.674914195541156,0.8599926168580777,-5.801642801133842
lambda_04,lambda_04_real,1,6,3.6200852791982996,0.3771912821087805,0.4640630706465097,5.119573698789428,0.46534508608825353,-4.176391953032019
lambda_04,lambda_04_real,2,6,4.225832098714843,0.4917339609340768,0.7740953590950704,5.97622906631409,0.7754188680401474,9.967696752391527
lambda_04,lambda_04_real,4,6,5.222581172129511,0.6851536720421455,0.892959266855498,7.38584512421993,0.8938054914076786,19.554725651678037
