objective_name,lambda,h1_guard_percent,status,h1_component_rmse,h1_component_r2,h1_normalized_rmse,h2_component_rmse,h2_component_r2,h2_normalized_rmse,h4_component_rmse,h4_component_r2,h4_normalized_rmse,h6_component_rmse,h6_component_r2,h6_normalized_rmse,pareto_nondominated
lambda_00,0.0,0.5,confirmatory_h1,3.4743735539609095,0.5062816443004352,0.7021524369132831,4.386432118842225,0.7565969464144846,0.4927635201103279,5.733410335143067,0.8711335806120726,0.3580749286616234,6.7846380047434645,0.9039854663921791,0.30870954608784823,True
lambda_01,0.1,1.4500000000000002,exploratory,3.5116900632442403,0.4955660525306496,0.7098045234003947,4.313624687255749,0.7646518753868826,0.48456471150340147,5.53278665283628,0.8800498230869692,0.34545292168865244,6.49277427606244,0.9121176429522723,0.29532844907867045,True
lambda_02,0.2,2.4000000000000004,exploratory,3.5445319177264167,0.48612955508467026,0.7164273139466079,4.271423863555351,0.7692717558348017,0.4798507962663134,5.405661322066933,0.8855656310926076,0.33753035819762367,6.301018409554183,0.9172903153215545,0.28663079379565654,True
lambda_03,0.3,3.35,exploratory,3.5932940200463617,0.47194733498773694,0.7263725702597107,4.231223015562036,0.7735191846021542,0.4754115407541171,5.258092769671411,0.8915892655188485,0.3283848788716413,6.073953986780772,0.9229749717895829,0.2763651439130212,True
lambda_04,0.4,4.300000000000001,exploratory,3.6200852791982996,0.4640630706465097,0.7318292852639043,4.225832098714843,0.7740953590950704,0.4748220332864624,5.222581172129511,0.892959266855498,0.3261655243630497,6.0104303846535325,0.9244465300617485,0.27348218582210465,True
lambda_05,0.5,5.25,exploratory,3.649059012650168,0.45558919678844684,0.7376900353765153,4.2179397363407185,0.7749497760047714,0.47393673857373503,5.175607897480796,0.8948386194902156,0.32321095200648947,5.931215785579514,0.9263822648815531,0.2698537093978352,True
lambda_06,0.6,6.2,exploratory,3.69352148063825,0.44184669970999235,0.746839343966209,4.199445600069519,0.77701842994402,0.47179861265127504,5.084943336000908,0.8986904663345537,0.3173628860235845,5.784695286293917,0.9301991023054704,0.26297856963191946,True
lambda_07,0.7,7.1499999999999995,exploratory,3.7203769123820187,0.43412603992161203,0.7519874489607655,4.192603603819616,0.7776864111476037,0.4711143315438408,5.042530783450265,0.9002877208035295,0.31490137750334646,5.710519445775847,0.9318726538940268,0.259810068827017,True
lambda_08,0.8,8.100000000000001,exploratory,3.7375010285079355,0.4290124143244962,0.7553860082825413,4.193686392299046,0.7775887574353583,0.471230133711457,5.031543896571478,0.9007285672722318,0.31420662221751827,5.685822299293135,0.9324638450402087,0.25868105584981665,True
lambda_09,0.9,9.05,exploratory,3.7922158326639575,0.41162424839985284,0.7666483673189576,4.17791416827746,0.7793608298960656,0.4693963646499962,4.9315386923622935,0.9049149307841245,0.3077711531829857,5.518749755686392,0.9366685346019316,0.25088663090192403,True
lambda_10,1.0,10.0,frozen_later_on_unseen_movies,3.8079649327152563,0.4067982842144506,0.7697786618922685,4.180735110335249,0.7790768968633808,0.46970543930689485,4.92497815384113,0.9051810827151522,0.30734811059490075,5.500748634593833,0.9370956586875346,0.25005733727826174,True
