sequence,frame,channel,image,model,diameter,cellprob_threshold,flow_threshold,representation,runtime_seconds,n_instances,coverage,area_median,area_q10,area_q90,small_fraction_lt200,large_fraction_gt30000,boundary_gradient_enrichment
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,40.0,-0.5,0.6,direct,153.37094270897796,539.0,0.771306037902832,5668.0,3283.8,9133.0,0.0018552875695732839,0.0018552875695732839,1.6613250365591743
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,40.0,-0.5,0.6,boundary_watershed,153.37094270897796,539.0,1.0,5500.0,410.8,14899.599999999999,0.09276437847866419,0.02411873840445269,2.753072563106745
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,40.0,0.0,0.6,direct,153.12657320898143,532.0,0.7448768615722656,5518.0,3139.8,8923.900000000003,0.0,0.0018796992481203006,1.743472771458725
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,40.0,0.0,0.6,boundary_watershed,153.12657320898143,532.0,1.0,5509.5,146.0000000000002,14850.800000000005,0.10150375939849623,0.020676691729323307,2.763784681608841
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,60.0,-0.5,0.6,direct,112.3929510419839,521.0,0.7710361480712891,5832.0,3533.0,9488.0,0.0,0.0019193857965451055,1.6308837729023247
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,60.0,-0.5,0.6,boundary_watershed,112.3929510419839,521.0,1.0,5465.0,277.0,15428.0,0.09596928982725528,0.028790786948176585,2.7809138830239784
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,60.0,0.0,0.6,direct,110.5665022500034,519.0,0.748145580291748,5675.0,3414.0,9267.2,0.0,0.0019267822736030828,1.7097907432484554
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,60.0,0.0,0.6,boundary_watershed,110.5665022500034,519.0,1.0,5465.0,259.8,16318.399999999998,0.09826589595375723,0.030828516377649325,2.7792309740517522
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,80.0,-0.5,0.6,direct,92.13888941702317,538.0,0.7803280353546143,5767.5,3480.3,9237.9,0.0,0.0018587360594795538,1.6199438870186222
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,80.0,-0.5,0.6,boundary_watershed,92.13888941702317,538.0,1.0,5626.0,305.7000000000001,14748.5,0.09293680297397769,0.022304832713754646,2.7569125467299678
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,80.0,0.0,0.6,direct,69.1920815409976,530.0,0.7555947303771973,5624.0,3453.9,9071.800000000001,0.0,0.0018867924528301887,1.7020158445314262
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpsam_v2,80.0,0.0,0.6,boundary_watershed,69.1920815409976,530.0,1.0,5535.5,681.0000000000009,14737.500000000002,0.08867924528301886,0.026415094339622643,2.766465969611216
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,40.0,-0.5,0.6,direct,118.84121870799572,544.0,0.44831180572509766,3340.0,1462.4,5448.799999999999,0.0,0.0,1.0659697842586011
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,40.0,-0.5,0.6,boundary_watershed,118.84121870799572,544.0,1.0,5841.5,22.0,15790.699999999999,0.13419117647058823,0.025735294117647058,2.655000202855813
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,40.0,0.0,0.6,direct,107.88086004200159,489.0,0.3623635768890381,2941.0,1172.4,5063.2,0.0,0.0,1.0889654986032513
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,40.0,0.0,0.6,boundary_watershed,107.88086004200159,489.0,1.0,6081.0,17.60000000000001,18030.399999999998,0.13701431492842536,0.03680981595092025,2.69153514570299
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,60.0,-0.5,0.6,direct,64.23316350000096,621.0,0.6349022388458252,4128.0,2046.0,6530.0,0.0,0.0,1.047016711181141
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,60.0,-0.5,0.6,boundary_watershed,64.23316350000096,621.0,1.0,5687.0,13.0,13452.0,0.13848631239935588,0.008051529790660225,2.586248853472265
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,60.0,0.0,0.6,direct,60.55067445902387,580.0,0.5288796424865723,3624.5,1635.8,6148.6,0.0,0.0,1.0607730230362111
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,60.0,0.0,0.6,boundary_watershed,60.55067445902387,580.0,1.0,5796.0,27.50000000000003,16401.800000000003,0.12241379310344827,0.013793103448275862,2.600738795798346
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,80.0,-0.5,0.6,direct,50.830928042007145,606.0,0.6623132228851318,4370.5,2350.5,6814.5,0.0,0.0,1.0277886485069014
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,80.0,-0.5,0.6,boundary_watershed,50.830928042007145,606.0,1.0,5646.5,21.0,13886.0,0.14026402640264027,0.013201320132013201,2.6013486461203685
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,80.0,0.0,0.6,direct,40.697158958995715,565.0,0.5541434288024902,3881.0,1780.6000000000001,6576.0,0.0,0.0,1.0311455777524072
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,2,Drugs__Mitomycin__s013t074c2_ORG.tif,cpsam_v2,80.0,0.0,0.6,boundary_watershed,40.697158958995715,565.0,1.0,5814.0,22.400000000000006,14656.600000000006,0.13628318584070798,0.017699115044247787,2.608879574216408
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,40.0,-0.5,0.6,direct,123.97968070799834,520.0,0.7668836116790771,5770.5,3388.7,9504.9,0.0019230769230769232,0.0038461538461538464,1.5394557633307084
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,40.0,-0.5,0.6,boundary_watershed,123.97968070799834,520.0,1.0,5645.0,786.7,14778.300000000001,0.08461538461538462,0.032692307692307694,2.7665167389480403
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,40.0,0.0,0.6,direct,115.20917824999196,512.0,0.740483283996582,5665.5,3340.5,9374.300000000003,0.001953125,0.00390625,1.6155686694736637
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,40.0,0.0,0.6,boundary_watershed,115.20917824999196,512.0,1.0,5617.0,837.1000000000003,14661.800000000001,0.08203125,0.03125,2.7811288010183075
Drugs__Mitomycin__s013tXXXcX_ORG.tif,74,1,Drugs__Mitomycin__s013t074c1_ORG.tif,cpdino,60.0,-0.5,0.6,direct,69.89706362501602,511.0,0.7679226398468018,5859.0,3345.0,9548.0,0.0019569471624266144,0.003913894324853229,1.5207150681271069
