seed,protocol,packet,model,folds,component_rmse_mean,component_rmse_std,component_r2_mean,direction_cosine_mean,coord_rmse,gain_vs_coord_percent
7,chronological,full_real,hgbdt,1,9.976442395488597,,0.014273662415509425,0.10732694221013188,10.061344327478663,0.843842822854091
7,chronological,coord_shape,hgbdt,1,10.003478715949404,,0.008923754378696858,0.08595134599174768,10.061344327478663,0.5751280310646099
7,chronological,coord_reliability,hgbdt,1,10.006759007058541,,0.008273670199330563,0.08622901004577425,10.061344327478663,0.5425251203364865
7,chronological,full_time_shuffled,hgbdt,1,10.036464208360815,,0.002377024621278312,0.06484643140982926,10.061344327478663,0.2472842426225012
7,chronological,full_wrong_cell,hgbdt,1,10.037682205163165,,0.0021348725447355443,0.08112500310906859,10.061344327478663,0.23517853624067023
7,chronological,coord_contact,hgbdt,1,10.03851695182987,,0.0019688981281028584,0.06840759471635915,10.061344327478663,0.2268819643360103
7,chronological,coord_actin,hgbdt,1,10.046458095566926,,0.0003892537886392988,0.08085023115719878,10.061344327478663,0.14795470095462973
7,chronological,coord_only,hgbdt,1,10.061344327478663,,-0.002575265987871944,0.06176521979295681,10.061344327478663,0.0
7,chronological,full_zero_state,hgbdt,1,10.061344327478663,,-0.002575265987871944,0.06176521979295681,10.061344327478663,0.0
7,chronological,full_row_shuffled,hgbdt,1,10.075440767009647,,-0.0053865487520605715,0.06237088978239917,10.061344327478663,-0.14010493103277882
7,chronological,coord_contact,ridge,1,10.038174625153973,,0.0020369653228452522,0.0688015777704184,10.051735863176447,0.1349143889878181
7,chronological,coord_reliability,ridge,1,10.046516682816591,,0.00037759502998779837,0.07957457333788791,10.051735863176447,0.05192317457301396
7,chronological,full_time_shuffled,ridge,1,10.04918989937109,,-0.00015444264262454155,0.05547142845456367,10.051735863176447,0.025328598363629575
7,chronological,coord_actin,ridge,1,10.050577441111901,,-0.00043065432884392685,0.07600771091891999,10.051735863176447,0.011524597147335239
7,chronological,coord_only,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
7,chronological,full_zero_state,ridge,1,10.051735863176447,,-0.0006612854023311243,0.041012419202138474,10.051735863176447,0.0
7,chronological,full_real,ridge,1,10.052231463151724,,-0.0007599628727488206,0.0717150013183329,10.051735863176447,-0.004930491429773381
7,chronological,coord_shape,ridge,1,10.059848293920727,,-0.002277139875992207,0.02526638574350181,10.051735863176447,-0.08070676403265846
7,chronological,full_row_shuffled,ridge,1,10.063401049600772,,-0.0029851971896310836,0.04809903046712501,10.051735863176447,-0.11605146198737515
7,chronological,full_wrong_cell,ridge,1,10.064325068601816,,-0.0031693933522678464,0.0383261980693367,10.051735863176447,-0.12524409312712512
7,leave_one_sequence_out,coord_only,hgbdt,3,11.07299289237627,4.868920141974593,-0.0879581507621312,-0.009276543027867947,11.07299289237627,0.0
7,leave_one_sequence_out,full_zero_state,hgbdt,3,11.07299289237627,4.868920141974593,-0.0879581507621312,-0.009276543027867947,11.07299289237627,0.0
7,leave_one_sequence_out,coord_reliability,hgbdt,3,11.090725540814892,4.81169896668921,-0.0973265318029084,0.03065087736009192,11.07299289237627,-0.16014322966676264
7,leave_one_sequence_out,coord_actin,hgbdt,3,11.096163036956069,4.896145113327986,-0.09137479624688212,-0.02738262826401544,11.07299289237627,-0.2092491596897145
7,leave_one_sequence_out,full_real,hgbdt,3,11.097006167684519,4.907068940485461,-0.09059791879850028,0.007808704247888176,11.07299289237627,-0.21686345816027963
7,leave_one_sequence_out,coord_contact,hgbdt,3,11.098732842013439,4.870041141332947,-0.09429346899912223,-0.02060438564285599,11.07299289237627,-0.23245702302302146
7,leave_one_sequence_out,full_wrong_cell,hgbdt,3,11.101495645327825,4.848925437629464,-0.09638117527017338,0.019616154273392503,11.07299289237627,-0.2574078501502425
7,leave_one_sequence_out,coord_shape,hgbdt,3,11.111631418317524,4.879071180807342,-0.09628566419829387,0.010391382218929315,11.07299289237627,-0.34894383403656265
7,leave_one_sequence_out,full_row_shuffled,hgbdt,3,11.118212289406742,4.852618196153561,-0.10028518216712763,-0.017070148385687784,11.07299289237627,-0.4083755626864477
7,leave_one_sequence_out,full_time_shuffled,hgbdt,3,11.137746399439932,4.854710266432814,-0.10487912537626405,-0.008712493008671407,11.07299289237627,-0.5847877596692438
7,leave_one_sequence_out,coord_only,ridge,3,11.246234766327035,4.364606064413564,-0.1840734100873176,-0.10958270957201133,11.246234766327035,0.0
7,leave_one_sequence_out,full_zero_state,ridge,3,11.246234766327035,4.364606064413564,-0.18407341008731767,-0.10958270957201192,11.246234766327035,0.0
7,leave_one_sequence_out,coord_contact,ridge,3,11.246991199878174,4.363989187955146,-0.1845095914331217,-0.07167644482792081,11.246234766327035,-0.006726104930726216
7,leave_one_sequence_out,full_wrong_cell,ridge,3,11.281580680020788,4.415735444449333,-0.18767990382458946,-0.1255479191392391,11.246234766327035,-0.31429108877919026
