source_order,column,family,meaning,causal_availability,fold_local_selection
0,dataset,key,row identity,index only; never a learned numeric input,identity only
1,sequence,key,row identity,index only; never a learned numeric input,identity only
2,frame,key,row identity,index only; never a learned numeric input,identity only
3,track_id,key,row identity,index only; never a learned numeric input,identity only
4,x_px,current_coordinate,current centroid,available at issue frame t,eligible; variance filtering and quotas fit on training movies only
5,y_px,current_coordinate,current centroid,available at issue frame t,eligible; variance filtering and quotas fit on training movies only
6,ms_has_prev,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
7,ms_r8_cur_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
8,ms_r8_cur_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
9,ms_r8_cur_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
10,ms_r8_cur_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
11,ms_r8_cur_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
12,ms_r8_cur_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
13,ms_r8_cur_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
14,ms_r8_cur_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
15,ms_r8_cur_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
16,ms_r8_cur_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
17,ms_r8_cur_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
18,ms_r8_cur_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
19,ms_r8_cur_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
20,ms_r8_delta_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
21,ms_r8_delta_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
22,ms_r8_delta_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
23,ms_r8_delta_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
24,ms_r8_delta_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
25,ms_r8_delta_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
26,ms_r8_delta_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
27,ms_r8_delta_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
28,ms_r8_delta_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
29,ms_r8_delta_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
30,ms_r16_cur_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
31,ms_r16_cur_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
32,ms_r16_cur_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
33,ms_r16_cur_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
34,ms_r16_cur_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
35,ms_r16_cur_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
36,ms_r16_cur_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
37,ms_r16_cur_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
38,ms_r16_cur_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
39,ms_r16_cur_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
40,ms_r16_cur_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
41,ms_r16_cur_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
42,ms_r16_cur_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
43,ms_r16_delta_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
44,ms_r16_delta_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
45,ms_r16_delta_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
46,ms_r16_delta_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
47,ms_r16_delta_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
48,ms_r16_delta_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
49,ms_r16_delta_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
50,ms_r16_delta_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
51,ms_r16_delta_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
52,ms_r16_delta_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
53,ms_r24_cur_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
54,ms_r24_cur_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
55,ms_r24_cur_p10,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
56,ms_r24_cur_p50,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
57,ms_r24_cur_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
58,ms_r24_cur_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
59,ms_r24_cur_grad_p90,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
60,ms_r24_cur_fg_frac,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
61,ms_r24_cur_centroid_dx,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
62,ms_r24_cur_centroid_dy,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
63,ms_r24_cur_elongation,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
64,ms_r24_cur_orient_cos,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
65,ms_r24_cur_orient_sin,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
66,ms_r24_delta_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
67,ms_r24_delta_std,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
68,ms_r24_delta_grad_mean,multiscale_image,multiscale morphology and local intensity,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
