comparator,test_movie,validation_movie,seed,status,selected_model,no_future_sentinel_pass,contract_match,output_dir,command
KalmanNet,1,2,7,complete,kalmannet_ca,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed7/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test01_val02_seed7/v52_anchor_cache_916fd35a2868b5a8"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed7/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""7"", ""--device"", ""cpu""]"
KalmanNet,1,2,42,complete,kalmannet_ca,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed42/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test01_val02_seed42/v52_anchor_cache_d44a6b3d1d9ebd5b"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed42/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""42"", ""--device"", ""cpu""]"
KalmanNet,1,2,123,complete,kalmannet_ca,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed123/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test01_val02_seed123/v52_anchor_cache_253930c08566bb72"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test01_val02_seed123/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""123"", ""--device"", ""cpu""]"
KalmanNet,2,3,7,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed7/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test02_val03_seed7/v52_anchor_cache_2d2288d9fc8e5e49"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed7/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""7"", ""--device"", ""cpu""]"
KalmanNet,2,3,42,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed42/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test02_val03_seed42/v52_anchor_cache_e39d6a479f015eef"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed42/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""42"", ""--device"", ""cpu""]"
KalmanNet,2,3,123,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed123/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test02_val03_seed123/v52_anchor_cache_198b02d6d19c7eb8"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test02_val03_seed123/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""123"", ""--device"", ""cpu""]"
KalmanNet,3,4,7,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed7/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test03_val04_seed7/v52_anchor_cache_bff04950259600e3"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed7/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""7"", ""--device"", ""cpu""]"
KalmanNet,3,4,42,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed42/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test03_val04_seed42/v52_anchor_cache_08212e6b9567ae26"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed42/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""42"", ""--device"", ""cpu""]"
KalmanNet,3,4,123,complete,kalmannet_ca,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed123/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test03_val04_seed123/v52_anchor_cache_fe1f4c43c184da38"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test03_val04_seed123/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""123"", ""--device"", ""cpu""]"
KalmanNet,4,5,7,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test04_val05_seed7/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test04_val05_seed7/v52_anchor_cache_29f4c11bd92a6f62"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test04_val05_seed7/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""7"", ""--device"", ""cpu""]"
KalmanNet,4,5,42,complete,kalmannet_cv,True,True,<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test04_val05_seed42/v98,"[""/Library/Frameworks/Python.framework/Versions/3.11/bin/python3"", ""<AIRI_SOURCE_ROOT>/scripts/run_lachance_kalmannet_online_v98.py"", ""--anchor-cache"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_benchmark_v102_v97_production_2026-07-21/cache/test04_val05_seed42/v52_anchor_cache_f1044c21fb34c4ad"", ""--out-dir"", ""<AIRI_SOURCE_ROOT>/outputs/lachance_online_lomo_kalmannet_v188_exact_2026-07-29/folds/test04_val05_seed42/v98"", ""--models"", ""cv,ca"", ""--validation-horizon-weights"", ""1:0.90,2:0.05,4:0.03,6:0.02"", ""--loss"", ""huber"", ""--cumulative-weight"", ""0.05"", ""--epochs"", ""80"", ""--patience"", ""12"", ""--seed"", ""42"", ""--device"", ""cpu""]"
