dataset,objective,horizon,comparison,outer_folds,rmse_advantage_macro,rmse_advantage_ci_low,rmse_advantage_ci_high,real_better_folds,sign_test_p_two_sided
HUVEC,h1_strict,1,real_vs_stale_time,18,0.031682507352727,0.0267191512288468,0.0364631329771521,18,7.62939453125e-06
HUVEC,h1_strict,1,real_vs_wrong_cell,18,0.0203907173047235,0.0165201299438135,0.0241637085782827,18,7.62939453125e-06
HUVEC,h1_strict,2,real_vs_stale_time,18,-0.034388096003689,-0.0409612357144437,-0.0271922275880439,0,7.62939453125e-06
HUVEC,h1_strict,2,real_vs_wrong_cell,18,-0.0145818206225367,-0.0184439869891433,-0.0103748507272075,1,0.0001449584960937
HUVEC,h1_strict,4,real_vs_stale_time,18,-0.0299278887230021,-0.0339362870108196,-0.0256815771787019,0,7.62939453125e-06
HUVEC,h1_strict,4,real_vs_wrong_cell,18,-0.0426102347350057,-0.0509489916081777,-0.0336314058981682,1,0.0001449584960937
HUVEC,h1_strict,6,real_vs_stale_time,18,-0.036438145632841,-0.0404080856671678,-0.0325389498563422,0,7.62939453125e-06
HUVEC,h1_strict,6,real_vs_wrong_cell,18,-0.0604714124509296,-0.0716063963612016,-0.0483277968132484,1,0.0001449584960937
HUVEC,h6_guard10,1,real_vs_stale_time,18,-0.0596786133466452,-0.063243232046241,-0.0559757157098757,0,7.62939453125e-06
HUVEC,h6_guard10,1,real_vs_wrong_cell,18,-0.0640849553704031,-0.0672595559977242,-0.06069563242374,0,7.62939453125e-06
HUVEC,h6_guard10,2,real_vs_stale_time,18,0.1499046551034521,0.1335653901944774,0.1691377694116355,18,7.62939453125e-06
HUVEC,h6_guard10,2,real_vs_wrong_cell,18,0.0951623604647058,0.0816211707218015,0.1111273969373802,18,7.62939453125e-06
HUVEC,h6_guard10,4,real_vs_stale_time,18,0.0891776969117351,0.0758869312994085,0.1050781698914842,18,7.62939453125e-06
HUVEC,h6_guard10,4,real_vs_wrong_cell,18,0.2425955638261894,0.2092477512059849,0.2832031878514711,18,7.62939453125e-06
HUVEC,h6_guard10,6,real_vs_stale_time,18,0.0773198214002573,0.0654794761432282,0.091313457680256,18,7.62939453125e-06
HUVEC,h6_guard10,6,real_vs_wrong_cell,18,0.3450473745331202,0.2981079375390676,0.4014633907284508,18,7.62939453125e-06
MDAMB231,h1_strict,1,real_vs_stale_time,17,0.39423857398709,0.3491326518812807,0.4387557267341397,17,1.52587890625e-05
MDAMB231,h1_strict,1,real_vs_wrong_cell,17,0.4364955733312534,0.3974685791243448,0.4755480694472887,17,1.52587890625e-05
MDAMB231,h1_strict,2,real_vs_stale_time,17,-0.7955185102139145,-0.8341308735511488,-0.7572318784590971,0,1.52587890625e-05
MDAMB231,h1_strict,2,real_vs_wrong_cell,17,-0.1881841367829717,-0.2103726226256854,-0.1647120561845947,0,1.52587890625e-05
MDAMB231,h1_strict,4,real_vs_stale_time,17,-0.4249645147031478,-0.4691834936201978,-0.3801158996711927,0,1.52587890625e-05
MDAMB231,h1_strict,4,real_vs_wrong_cell,17,-0.5135246582944184,-0.5617150452380909,-0.461512132495717,0,1.52587890625e-05
MDAMB231,h1_strict,6,real_vs_stale_time,17,-0.4216142564879931,-0.4638491479251246,-0.3802544427490534,0,1.52587890625e-05
MDAMB231,h1_strict,6,real_vs_wrong_cell,17,-0.6234946749212124,-0.7038248340144534,-0.5383542574627486,0,1.52587890625e-05
MDAMB231,h6_guard10,1,real_vs_stale_time,17,-0.4880228546868154,-0.5401032606716563,-0.4360079696967089,0,1.52587890625e-05
MDAMB231,h6_guard10,1,real_vs_wrong_cell,17,-0.5817180717092747,-0.6211589139792645,-0.5428397023767235,0,1.52587890625e-05
MDAMB231,h6_guard10,2,real_vs_stale_time,17,1.319060858180541,1.2860870907764002,1.3539067806460747,17,1.52587890625e-05
MDAMB231,h6_guard10,2,real_vs_wrong_cell,17,0.4494655217834522,0.4087585923999519,0.489841998124118,17,1.52587890625e-05
MDAMB231,h6_guard10,4,real_vs_stale_time,17,0.7021734608713767,0.6372716367327349,0.7680684178843288,17,1.52587890625e-05
MDAMB231,h6_guard10,4,real_vs_wrong_cell,17,1.6743709753473688,1.585427395850639,1.7571514798491814,17,1.52587890625e-05
MDAMB231,h6_guard10,6,real_vs_stale_time,17,0.6549648401498006,0.5860823264271077,0.719272748693703,17,1.52587890625e-05
MDAMB231,h6_guard10,6,real_vs_wrong_cell,17,2.582859592457279,2.4396476330674255,2.7218099484198053,17,1.52587890625e-05
