cycle,gate,dataset,state_scope,decision,passed,deployable_to_lachance,primary_gain_fraction,ci_low,ci_high,hard_controls_pass,independent_units,evidence_path,interpretation
Historical,giga_native_field,GigaScience wound field,field_level,PASS,True,False,0.13363,,,True,31.0,<AIRI_SOURCE_ROOT>/outputs/gigascience_field_transport_v169_full_2026-07-28/gigascience_field_decision_report.md,"Causal field dynamics are learnable, but identity-preserving transfer is separate."
Historical,giga_to_lachance,GigaScience -> LaChance,bounded_field_transfer,FAIL,False,False,-0.00056,-0.005965,0.00011,True,7.0,<AIRI_SOURCE_ROOT>/outputs/gigascience_lachance_transfer_v170_2026-07-28/gigascience_lachance_transfer_report.md,A real field signal did not improve frozen v166 on LaChance.
Historical,ssbd_erk_driver,SSBD ERK,privileged_driver,FAIL,False,False,-0.00769,,,False,,<AIRI_SOURCE_ROOT>/outputs/identified_cell_driver_upper_bound_v171_full_2026-07-28/mechanical_branch_reopening_decision.md,The tested privileged mechanical/driver implementation failed.
Cycle 0,cycle2_power_resolution_audit,all Cycle 2 sources,statistical_design,PASS_AUDIT_WITH_MATERIAL_LIMITATION,True,False,,,,False,4.0,<AIRI_SOURCE_ROOT>/outputs/future_work_power_resolution_v185_2026-07-28/v185_power_resolution_decision.json,The S-BIAD control gate is formally underpowered at four acquisition days; the missing pre-training MDE cannot be repaired retrospectively.
Cycle 1,bridge_capacity,synthetic identity-bearing field,capacity_only,PASS,True,False,0.4423719305607232,,,True,2.0,<AIRI_SOURCE_ROOT>/outputs/field_cell_bridge_identifiability_v172_full_2026-07-28/v172_capacity_decision.csv,Architecture can recover injected nonlinear cell-specific state; this is not biological observability evidence.
Cycle 1,allen_emt_identity,Allen EMT,identity,BLOCKED,False,False,,,,,21.0,<AIRI_SOURCE_ROOT>/outputs/allen_emt_identity_audit_v174_2026-07-28/allen_emt_identity_decision.json,"Public nucleus labels are segmentation labels, not persistent cell IDs; the individual-cell bridge is blocked without causal retracking."
Cycle 1,sbiad_stage_followed_identity,S-BIAD365 control + intervention,stratified_identity_audit,PASS,True,False,,,,True,29.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_identity_audit_v182_2026-07-28/v182_identity_audit_decision.json,All movies passed stratified frames plus maximum-jump visual review; full-sequence duplicate manual relinking remains prospective.
Cycle 2,lachance_independent_causal_retracking,LaChance MDCK Bulk coherent prefixes,identity_and_reliability_audit,FAIL,False,False,,,,True,36.0,<AIRI_SOURCE_ROOT>/outputs/lachance_cellpose_causal_retracking_v183_2026-07-28/v183_causal_retracking_decision.json,Cellpose is initialized once per track and subsequently queried from its own completed causal state; the cohort remains an aligned audit.
Cycle 2,sbiad_control_privileged_state,S-BIAD365 control,fluorescence_privileged,FAIL,False,False,-0.0061703855745277,-0.0104010894283149,-0.0025449359424278,False,4.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_privileged_state_residual_gate_v175b_full17_2026-07-28/v175c_residual_gate_decision.json,Nucleus/Golgi/membrane/Rab6 upper bound.
Cycle 2,sbiad_control_dic_student,S-BIAD365 control,dic_deployable_candidate,FAIL,False,False,0.0015428495068665,-0.0039341696020767,0.0089983633307822,True,4.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_privileged_state_residual_gate_v175b_full17_2026-07-28/v175c_residual_gate_decision.json,Only this common-channel candidate can authorize transfer.
Cycle 2,lachance_prefix_reliability,LaChance MDCK Bulk aligned subset,deployable_reliability,FAIL,False,False,-0.0024993643897564,,,False,450.0,<AIRI_SOURCE_ROOT>/outputs/lachance_cellpose_prefix_reliability_v177_2026-07-28/v177_cellpose_reliability_decision.json,"Framewise Cellpose reliability may alter scale only; this is an aligned-subset gate, not full independent retracking."
Cycle 2,lachance_past_association_reliability,LaChance MDCK Bulk coherent prefixes,deployable_reliability,FAIL,False,False,-0.0047286447764652,,,True,36.0,<AIRI_SOURCE_ROOT>/outputs/lachance_cellpose_past_association_reliability_v177b_full_2026-07-28/v177b_cellpose_reliability_decision.json,Framewise Cellpose plus past-only mask association changes Student-t scale only; this single split is diagnostic and cannot authorize integration without the movie-LOMO gate.
Cycle 2,lachance_current_query_reliability_movie_lomo,LaChance MDCK Bulk coherent prefixes,deployable_reliability,FAIL,False,False,-0.0114687417228944,-0.0212141301720552,-0.0020031035387306,False,6.0,<AIRI_SOURCE_ROOT>/outputs/lachance_cellpose_reliability_lomo_v177c_current_query_2026-07-28/v177c_reliability_decision.json,Six-fold movie-LOMO reliability gate; only Student-t scale may change.
Cycle 2,lachance_cellpose_reliability_movie_lomo,LaChance MDCK Bulk coherent prefixes,deployable_reliability,FAIL,False,False,-0.0097252964683056,-0.0141332226927005,-0.0051023607760926,False,6.0,<AIRI_SOURCE_ROOT>/outputs/lachance_cellpose_reliability_lomo_v177c_2026-07-28/v177c_reliability_decision.json,Six-fold movie-LOMO reliability gate; only Student-t scale may change.
Cycle 2,giga_raw_image_field,GigaScience wound field,field_level_only,FAIL,False,False,0.0026041717809285,,,False,31.0,<AIRI_SOURCE_ROOT>/outputs/gigascience_tap_query_field_v178_dualres_full_2026-07-28/v178_query_decision.json,The corpus lacks persistent cell identity; a pass remains field-level.
Cycle 2,giga_masked_predictive_image_field,GigaScience wound field,field_level_only,FAIL,False,False,0.0015972565429494,,,False,31.0,<AIRI_SOURCE_ROOT>/outputs/gigascience_masked_predictive_query_v187_full_2026-07-28/v187_query_decision.json,Masked next-image pretraining is the final planned image/field representation rung; persistent cell identity remains unavailable.
Cycle 2,allen_endothelial_privileged_state,Allen endothelial,shear_cadherin_privileged,FAIL,False,False,0.0175447227429931,0.0156385020159867,0.01965869048293,True,27.0,<AIRI_SOURCE_ROOT>/outputs/allen_endothelial_state_upper_bound_v179_full27_2026-07-28/v179_state_decision.json,Shear and VE-cadherin are source-domain privileged state.
Cycle 2,allen_endothelial_brightfield_state,Allen endothelial,brightfield_deployable_candidate,FAIL,False,False,0.0036069529743605,0.0025152744249512,0.0048011290639593,True,27.0,<AIRI_SOURCE_ROOT>/outputs/allen_endothelial_state_upper_bound_v179_full27_2026-07-28/v179_state_decision.json,Bright-field/DiffAE/morphology packet is the transfer candidate.
Cycle 2,sbiad_cdc42_state,S-BIAD365 Cdc42 intervention,cdc42_privileged,FAIL,False,False,-0.6910179611557867,-2.0455371569315464,0.0011777281572841,False,9.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_cdc42_opto_upper_bound_v180_full12_2026-07-28/v180b_state_decision.json,ITSN/Cdc42 and activation geometry are privileged.
Cycle 2,sbiad_opto_all_privileged,S-BIAD365 Cdc42 intervention,fluorescence_privileged,FAIL,False,False,-0.6014175025519909,-1.8036883194715216,0.0003241271971461,False,9.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_cdc42_opto_upper_bound_v180_full12_2026-07-28/v180b_state_decision.json,Cdc42/Rab6/shape upper bound across intervention families.
Cycle 2,sbiad_opto_dic_student,S-BIAD365 Cdc42 intervention,dic_deployable_candidate,FAIL,False,False,-0.0406100903040098,-0.1124684924170963,0.0008818557011223,False,9.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_cdc42_opto_upper_bound_v180_full12_2026-07-28/v180b_state_decision.json,DIC is the only direct common-channel student candidate.
Sensitivity,sbiad_control_bounded_ood_sensitivity,S-BIAD365 control,posthoc_bounded_ood_sensitivity,ROBUST_NEGATIVE,False,False,0.0023894601707685,,,,4.0,<AIRI_SOURCE_ROOT>/outputs/sbiad365_privileged_state_residual_gate_v175b_full17_2026-07-28/bounded_ood_sensitivity_v186/v186_bounded_decision.json,Fixed bounded/OOD repair can diagnose extrapolation but cannot authorize Cycle 3 without a fresh confirmatory cohort.
