operating_point,protocol,sources,dataset,family_selected,detail,fit_control,selected_overall,horizon,sequences,rows,component_rmse,vector_rmse,mean_gain_vs_prior_percent,nll_selected,energy_score_selected,coverage50,coverage90,calibration_error_selected,scale_factor,degrees_of_freedom,validation_score,nll_independent,energy_score_independent,calibration_error_independent,nll_gain,energy_gain_percent,nll_gain_vs_time_shuffled,energy_gain_vs_time_shuffled_percent,strong_temporal_gate,source_path,source_sha256
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Bulk,MDCK_Edge,ar2,phi1=-0.191804;phi2=-0.061021,real,True,1,1,34152,3.741196499615525,5.290850829259025,0.8455138637345196,5.289600853360388,3.0947868946080335,0.5751054111033029,0.9678203326305926,0.0714628718669477,1.0,3.0,4.8697074702801695,5.289600853360388,3.0947868946080335,0.0714628718669477,0.0,0.0,0.0,-2.9309526078500374,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Bulk,MDCK_Edge,ar2,phi1=-0.191804;phi2=-0.061021,real,True,2,1,33327,4.550439211853438,6.435292848157469,1.3706819881906895,5.632184763920113,3.722586810356741,0.6336603954751403,0.9838869385183184,0.1087736669967293,1.0,3.0,4.8697074702801695,5.685026888222201,3.780567389354896,0.1428151348756263,0.0528421243020886,1.533647546170284,0.0316678029440433,1.8633084240361395,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Bulk,MDCK_Edge,ar2,phi1=-0.191804;phi2=-0.061021,real,True,4,1,31689,5.309363208930602,7.508573457634393,2.538018619409376,6.015307954899462,4.446719807169336,0.7200921455394617,0.9924579507084478,0.1562750481239547,1.0,3.0,4.8697074702801695,6.146424857441941,4.636731447049187,0.2066395279118937,0.1311169025424794,4.0979651733070455,0.0534510937818488,1.0690883489544294,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Bulk,MDCK_Edge,ar2,phi1=-0.191804;phi2=-0.061021,real,True,6,1,30054,5.997754054043965,8.48210512700719,2.157831707683905,6.31399915424433,5.020108948802363,0.7512144806015838,0.9953417182405004,0.1732780994210421,1.0,3.0,4.8697074702801695,6.4802514489995655,5.2948856435681115,0.2264324216410461,0.1662522947552354,5.189473640465292,0.0646442130888402,1.9025242562801132,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Edge,MDCK_Bulk,ar2,phi1=-0.208376;phi2=-0.103678,real,True,1,1,12960,4.065399112986333,5.749342562044823,1.8269555957501935,5.531479655526039,3.353659966724513,0.3540123456790123,0.8036265432098766,0.1211805555555555,1.0,5.0,5.065508138410625,5.531479655526039,3.353659966724513,0.1211805555555555,0.0,0.0,0.0,0.0322263821481092,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Edge,MDCK_Bulk,ar2,phi1=-0.208376;phi2=-0.103678,real,True,2,1,12638,5.757358630951077,8.142134659336808,-2.786256265562807,6.233500023555037,4.832151672968118,0.2892862794746004,0.7643614495964551,0.1731761354644722,1.0,5.0,5.065508138410625,6.16285546761676,4.7840353749847155,0.1217043836050008,-0.0706445559382773,-1.0057680224314058,-0.044152195424755,-0.7586454900651016,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Edge,MDCK_Bulk,ar2,phi1=-0.208376;phi2=-0.103678,real,True,4,1,11997,8.113600374002878,11.474363688590287,-4.2333977073485904,7.0936574942028106,7.079479862901807,0.2252229724097691,0.6914228557139285,0.2416770859381512,1.0,5.0,5.065508138410625,6.91699935551214,6.913570399154825,0.1381512044677836,-0.1766581386906702,-2.3997653045850877,-0.0902167999654679,-0.3544524606807573,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDAMB231+MDCK_Edge,MDCK_Bulk,ar2,phi1=-0.208376;phi2=-0.103678,real,True,6,1,11361,9.849455406670662,13.929233418102658,-5.295279511911771,7.568474170604076,8.701347425893426,0.2023589472757679,0.6699234222339583,0.2638588152451369,1.0,5.0,5.065508138410625,7.352147325879328,8.45822638692447,0.1398820526362116,-0.2163268447247475,-2.874373749853705,-0.1077583940856214,-1.495742498833338,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDCK_Bulk+MDCK_Edge,MDAMB231,ar2,phi1=-0.223289;phi2=-0.102599,real,True,1,3,14986,22.527820984265414,31.859149966661363,1.8453796833110896,6.666622160712596,11.76096146384254,0.4875479633910178,0.8407360958574749,0.0358579703757536,1.0,5.0,4.369304429032408,6.6666221607125955,11.76096146384254,0.0358579703757536,-8.881784197001252e-16,0.0,-8.881784197001252e-16,-0.6939940703127282,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDCK_Bulk+MDCK_Edge,MDAMB231,ar2,phi1=-0.223289;phi2=-0.102599,real,True,2,3,14805,26.060610016257822,36.855268128707934,-1.7519104379850978,7.05537879714197,14.036744407224226,0.4738978323519155,0.8590009666177832,0.0335506005151505,1.0,5.0,4.369304429032408,7.0524258024753435,14.004158327704758,0.0231979246676774,-0.0029529946666269,-0.2326885968934152,-0.0047100524795116,-0.2085467680801652,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDCK_Bulk+MDCK_Edge,MDAMB231,ar2,phi1=-0.223289;phi2=-0.102599,real,True,4,3,14445,29.028774582897565,41.05288671420512,-3.3800513352547186,7.6121586650265725,16.8417645191274,0.4450541020026253,0.8632652175754263,0.0458403402109741,1.0,5.0,4.369304429032408,7.616769108339663,16.925831945234975,0.0388378511017992,0.0046104433130906,0.4966812052700539,-0.0088887767515029,0.2538200834541324,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,HUVEC+MDCK_Bulk+MDCK_Edge,MDAMB231,ar2,phi1=-0.223289;phi2=-0.102599,real,True,6,3,14086,31.915367965244823,45.135146224577035,-4.215748955799449,8.048456022173076,19.33996728160353,0.4110827295567116,0.8639235684995527,0.0624968509718679,1.0,5.0,4.369304429032408,8.044842006507368,19.528658808149228,0.0381568656428199,-0.0036140156657076,0.9662288045452264,-0.0157360224362967,0.5680060218734483,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,MDAMB231+MDCK_Bulk+MDCK_Edge,HUVEC,ar2,phi1=-0.230209;phi2=-0.107418,real,True,1,3,14896,0.9820058844031766,1.3887660400531583,-6.345366453791914,2.6547971495415044,0.822662481092015,0.4465897107177728,0.9495495207355504,0.0514799050088887,1.0,3.0,5.824210792675622,2.6547971495415044,0.822662481092015,0.0514799050088887,0.0,0.0,0.0,-0.0915244178960343,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,MDAMB231+MDCK_Bulk+MDCK_Edge,HUVEC,ar2,phi1=-0.230209;phi2=-0.107418,real,True,2,3,14784,1.0518885079426337,1.4875949940368718,2.4448460342327,2.754220380832487,0.8797361156078732,0.5867491230394456,0.9787685432846724,0.0827588331620589,1.0,3.0,5.824210792675622,2.804489967327175,0.8918490923001587,0.1246521250553508,0.050269586494688,1.3581868050170969,0.0274414508798379,0.6920504553815182,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,MDAMB231+MDCK_Bulk+MDCK_Edge,HUVEC,ar2,phi1=-0.230209;phi2=-0.107418,real,True,4,3,14560,1.2061784373207525,1.7057939047009938,6.559090215077259,3.0659212342069613,1.0221374128610472,0.664588086300245,0.98958331439721,0.1270857003487276,1.0,3.0,5.824210792675622,3.2187247185274166,1.070219543575308,0.1937769082310025,0.1528034843204553,4.492735252584866,0.0609938826825446,0.7066438030735751,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,lodo_zero_shot,MDAMB231+MDCK_Bulk+MDCK_Edge,HUVEC,ar2,phi1=-0.230209;phi2=-0.107418,real,True,6,3,14336,1.306879381391829,1.8482065455500851,8.013960416925256,3.2950700388005463,1.1288898453076168,0.7158519683721297,0.9951799992122572,0.1555159837921934,1.0,3.0,5.824210792675622,3.505301235397646,1.2070897108823715,0.2223774936980581,0.2102311965970997,6.478380593401918,0.0824092083550733,2.228733518787507,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,HUVEC,HUVEC,ar2,phi1=-0.244023;phi2=-0.085978,real,True,1,3,14896,0.8892855052863821,1.2576396223978124,3.701576567921943,2.395055285288153,0.7381975808337771,0.4908011787711036,0.8923109795047705,0.0161890902371135,1.0,8.0,2.629147552012084,2.395055285288153,0.7381975808337771,0.0161890902371135,0.0,0.0,0.0,-0.2169533638852046,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,HUVEC,HUVEC,ar2,phi1=-0.244023;phi2=-0.085978,real,True,2,3,14784,1.0883563888432697,1.539168365797558,-0.9471149853317096,2.7304622975493587,0.8952136204639191,0.5213232108393399,0.91086512054254,0.0177175423143164,1.0,8.0,2.629147552012084,2.7626489010552553,0.8990882343479424,0.0757321083933987,0.0321866035058966,0.4309492367935793,0.0156367603932738,0.1870595368882112,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,HUVEC,HUVEC,ar2,phi1=-0.244023;phi2=-0.085978,real,True,4,3,14560,1.3464249340149137,1.9041324024011903,-4.344051773793995,3.156693381255214,1.1090402577475118,0.5600614439324118,0.921315863623556,0.0406886537779837,1.0,8.0,2.629147552012084,3.2583469796479463,1.1288677114836771,0.1300745780274316,0.1016535983927329,1.756401882564788,0.0324083368342651,-0.1242977355673145,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,HUVEC,HUVEC,ar2,phi1=-0.244023;phi2=-0.085978,real,True,6,3,14336,1.5232706653852743,2.1542300341529437,-7.26219236074845,3.432371802898599,1.2627125843786369,0.5830783939402892,0.9336380605281814,0.0583582272342352,1.0,8.0,2.629147552012084,3.5771645566089263,1.2980825193381391,0.1520905337941628,0.1447927537103268,2.7247832424040745,0.0466633688346593,0.66090938756886,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDAMB231,MDAMB231,ar2,phi1=-0.160585;phi2=-0.075103,real,True,1,3,14986,22.488392529301763,31.80338971090835,2.016754129553214,6.584254481607485,11.69794920740214,0.5277395925420688,0.8883872781037533,0.0196761572191577,1.0,3.0,6.9624640868400505,6.584254481607485,11.69794920740214,0.0196761572191577,0.0,0.0,0.0,-0.3539533229602008,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDAMB231,MDAMB231,ar2,phi1=-0.160585;phi2=-0.075103,real,True,2,3,14805,25.913151228004637,36.64672991046918,-1.1744870980312043,6.924056430348881,13.69292675416962,0.5652107950809633,0.9263584675950914,0.0457846313380273,1.0,3.0,6.9624640868400505,6.9460684272428885,13.72345965037204,0.0731586541673662,0.0220119968940073,0.2224868727004554,0.0110408541684972,0.3292747889580731,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDAMB231,MDAMB231,ar2,phi1=-0.160585;phi2=-0.075103,real,True,4,3,14445,28.648029717978417,40.51443216243255,-2.0166068031538047,7.402423469415904,16.228580817791258,0.5859855902410462,0.947812664519834,0.0668991273804402,1.0,3.0,6.9624640868400505,7.464682506940053,16.469034229150537,0.1152887643831203,0.0622590375241491,1.460033466526361,0.0206261132688077,0.7046371065403437,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDAMB231,MDAMB231,ar2,phi1=-0.160585;phi2=-0.075103,real,True,6,3,14086,31.304379470887262,44.271078009402665,-2.2104184629093235,7.778821639916124,18.400344638025302,0.5796257461869222,0.956294533362582,0.0679601397747521,1.0,3.0,6.9624640868400505,7.854466965457796,18.803178061415352,0.1246844168458146,0.0756453255416715,2.1423688169856505,0.0237020737968256,1.1486120540831397,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Bulk,MDCK_Bulk,lowrank,rank=6;shrink=0.050000,real,True,1,1,12960,4.0426714202067355,5.717200750674467,2.375793909147324,5.502101382128585,3.3052625385119,0.3638117283950617,0.8076388888888889,0.1142746913580247,1.0,5.0,4.888835969244369,5.5000100859773555,3.3049502574634855,0.1138888888888889,-0.0020912961512298,-0.0094488880039629,-3.811759513272506e-05,0.4657873615350492,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Bulk,MDCK_Bulk,lowrank,rank=6;shrink=0.050000,real,True,2,1,12638,5.316117201230136,7.518125045144558,5.0912371437348325,6.003015504759092,4.404042556756644,0.3609748377907897,0.8332014559265707,0.1029118531413198,1.0,5.0,4.888835969244369,5.969502900336981,4.38679674171105,0.0759692989397056,-0.0335126044221105,-0.3931300231354458,-0.0194683842112874,-0.879219770981923,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Bulk,MDCK_Bulk,lowrank,rank=6;shrink=0.050000,real,True,4,1,11997,7.108802688784824,10.053365174713822,8.674987215618234,6.655032515777427,6.023017933742372,0.3264149370676002,0.8145369675752271,0.1295240476785863,1.0,5.0,4.888835969244369,6.590199385226799,5.963518801020784,0.0644661165291323,-0.0648331305506282,-0.9977185401243908,-0.0308918770082433,0.702472723067348,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Bulk,MDCK_Bulk,lowrank,rank=6;shrink=0.050000,real,True,6,1,11361,8.426160771571007,11.91639084189186,9.920405035390608,7.035227819291096,7.218604663968726,0.3082475134231142,0.8132206671947891,0.1392659096910483,1.0,5.0,4.888835969244369,6.960375225938095,7.127238347708026,0.0566147346184315,-0.0748525933530013,-1.2819315393048651,-0.0065401991283557,-0.2627907087621671,False,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Edge,MDCK_Edge,lowrank,rank=6;shrink=0.050000,real,True,1,1,34152,3.67457124539121,5.196628491138444,2.611310674190446,5.179003206107537,2.996612855451101,0.5563070976809558,0.919214101663153,0.0377605996720543,1.0,8.0,5.4805643254534,5.182086872928172,2.997297025541251,0.0368675333801826,0.0030836668206353,0.0228262359158931,0.0016909046539321,-4.070440717352381,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
h1_strict,per_domain,MDCK_Edge,MDCK_Edge,lowrank,rank=6;shrink=0.050000,real,True,2,1,33327,4.567829429367148,6.4598863296179765,0.9937545722642558,5.59314664541979,3.6946536352648542,0.5848411198127644,0.9477000630119724,0.0662705914123683,1.0,8.0,5.4805643254534,5.628089771700311,3.718466954973173,0.0997719566717676,0.0349431262805213,0.6404069202892763,0.015613463295991,1.5975633289095938,True,<AIRI_SOURCE_ROOT>/outputs/lachance_temporal_student_t_covariance_v163_h1strict_2026-07-27/v163_temporal_covariance_decision.csv,3914c4845cb3566ef3f9f9b1169963735b42b06052813c58954830b4b13784a7
