outer_test_movie,validation_movie,train_movies,movie,split,rows,duplicate_keys,real_donor_coverage,real_future_donor_violations,stale_donor_coverage,stale_future_or_nonstale_violations,coherent_wrong_packet,wrong_fixed_point_fraction,wrong_single_permutation_sha256,feature_columns,uses_whole_movie_xy_normalization,prediction_time,latest_real_measurement,latest_stale_measurement,target_time
1,2,"3,4,5,6",1,test,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,25ec8cbe75590c254a28569572d4a01c34503178bb475153221cd6d70cc21b32,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
1,2,"3,4,5,6",2,validation,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,900aab020134fe83b245b22254d145fd28a8c95419921c8c7dc719fb31e12552,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
1,2,"3,4,5,6",3,train,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,8a40512f94d64dbc22b281b5a16d466c0633a2fd81fd665987d2f4aeaee4081a,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
1,2,"3,4,5,6",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,a0ae367066eadbfb4b38faf7f4807aaec457ae0e298d9bb5976f0cc2d9281420,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
1,2,"3,4,5,6",5,train,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,ac227ce229aa687206e6ff7b1cbbf78875103a32c33dfc35fe4d613f420258ce,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
1,2,"3,4,5,6",6,train,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,17ba730f4ba775a0e3127381c571815ebf677d3c2ad098629be703a2d9d472ac,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",1,train,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,52e5e7b646c36786bd603ea7ba916946fff35dc136c83749982603584775587d,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",2,test,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,26daadb76d5ee083e66532f013b6b7b24df4eef7f58f4ee7a5a4c959645432af,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",3,validation,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,87f633ca3b99577fd476a705f2bbdbb537598a6b399891ec7689340065c53f01,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",4,train,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,7ec140b0a3a3a19cfc84f078ba473bca6df08ac9e01f1755234a617e071a2b9a,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",5,train,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,88f0c32225f14cdcb9cea338060b7db824f026d10afc14e7b15e774359a82488,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
2,3,"1,4,5,6",6,train,12960,0,0.9761574074074074,0,0.9513117283950617,0,True,0.0,03d00ae61736176b9eda1265734e65e65a0a1f9be7c6c9fab8d532bb0220619b,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
3,4,"1,2,5,6",1,train,14446,0,0.9760487332133463,0,0.9505745535096221,0,True,0.0,d1675dbf67ed24b1e8aa548cccf587ea78ee450ed3ecb643c1f64a0da26ad574,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
3,4,"1,2,5,6",2,train,13633,0,0.9763074891806646,0,0.9517347612411061,0,True,0.0,f7a8aa2841e1f6ea150024793bee1c073b78e9d952b8f0da1af8f631ce10acca,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
3,4,"1,2,5,6",3,test,12799,0,0.9762481443862802,0,0.9514805844206579,0,True,0.0,9202949b2dd9eab7ad488c59534564bfddc2d1a8823f7232c8f27dc1eeb5acea,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
3,4,"1,2,5,6",4,validation,13260,0,0.9763197586726998,0,0.9513574660633484,0,True,0.0,985d04ffde8a813a37cccfc9bb437c8e6bf37d78f4456cbc7d39c55d93890224,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
3,4,"1,2,5,6",5,train,14154,0,0.9761198247845132,0,0.9507559700438039,0,True,0.0,2af5711f6536ac74dd25aff8d4ef3bc945c53293838f01020838a861e8b9dd4f,25,False,t,completed transition t-1 to t,completed transition no later than t-2,t+1
