dataset,model,rmse_px,r2_vec
MDCK Edge,Zero displacement,29.84556961672195,-0.11856836977112328
MDCK Edge,Constant velocity,33.77482812026861,-0.43248170991684254
MDCK Edge,Ridge trajectory,24.393431750525693,0.2527798141765585
MDCK Edge,Ridge trajectory + flow,22.038279323442456,0.3901006692160556
MDCK Edge,MLP trajectory + flow,22.44404721115193,0.36743503068479544
MDCK Bulk,Zero displacement,29.499602648681034,-0.036524206300290185
MDCK Bulk,Constant velocity,35.79569983785595,-0.5261908017053618
MDCK Bulk,Ridge trajectory,24.557066084051964,0.2817095798904806
MDCK Bulk,Ridge trajectory + flow,22.150541533954748,0.4155924567918724
MDCK Bulk,MLP trajectory + flow,22.39148884419549,0.4028092678315046
MDCK Edge,GRU self trajectory,21.8955,0.4204
MDCK Edge,GRU self + learned flow,20.8864,0.4725
MDCK Edge,Ours: 3-layer radial MP,19.9183,0.5203
MDCK Bulk,GRU self trajectory,22.8268,0.4705
MDCK Bulk,GRU self + learned flow,21.6278,0.5246
MDCK Bulk,Ours: 3-layer radial MP,20.1205,0.5886
